Sitio,Depth Group,Fecha,Profuidad (m),Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),PT (µg/l),NT (µg/l)
SA,0-10 m,2017-11-07 00:00:00,4.51,22.895,1.135,8.918,36.94784441,7.529,300,3.162101699,6.102088415,0,0,0,0,19.22731134
SA,0-10 m,2017-12-13 00:00:00,4.51,24.5,1.907,8.52,33.15412657,3.883,210,1.385676789,5.886020969,226.8516809,0,0,6.590472703,57.50431335
SA,0-10 m,2018-01-11 00:00:00,4.5,20.52023804,8.752287026,9.370496046,0.707747683,6.560410735,946.8761222,1.644855013,5.778324715,2.319272418,0.340055585,1.108292249,5.169241012,21.4390203
SA,0-10 m,2018-02-07 00:00:00,4.5,20.33826735,7.878703238,8.89105028,0.552153827,5.263232191,1014.077455,1.440602622,5.829214086,11.21894772,30.67353842,0.199099742,8.220585398,35.54860443
SA,0-10 m,2018-03-13 00:00:00,4.5,20.69084031,7.261936699,8.921379204,0.571171213,6.615650826,9.376903269,1.732806659,5.733373468,0.344280719,3.526380041,0.238062921,7.695752207,15.73088764
SA,0-10 m,2018-04-10 00:00:00,4.5,21.5113993,2.87748944,8.775691838,0.428991139,6.949879534,241.558359,2.11254998,6.457054061,0.169586232,3.829324888,0.626618918,12.49455915,28.37705698
SA,0-10 m,2018-05-15 00:00:00,4.5,22.71095547,1.989092254,8.840345333,0.292084261,7.315734075,4.155877748,2.819826119,6.420416616,0.583857014,3.766167389,1.533951054,7.795766782,23.63517665
SA,0-10 m,2018-06-12 00:00:00,4.5,23.26055297,2.328827109,8.918405216,0.365962623,7.080478982,0,3.007192514,6.032566115,2.678,2.730256263,1.583794049,3.089657855,16.89335675
SA,0-10 m,2018-07-17 00:00:00,4.5,22.59701799,2.513865501,8.880654589,0.471556438,6.969427111,26.23482597,2.827734336,6.041872387,0,2.2625923,0.84375,9.047619048,21.11856873
SA,0-10 m,2018-08-14 00:00:00,4.5,23.27504729,1.529208257,8.920381115,0.434617513,7.063523945,0,3.259594343,6.103523158,0,2.627325407,0.88450116,4.887067278,24.53362304
SA,0-10 m,2018-09-11 00:00:00,4.5,23.56241388,2.154392242,8.838192569,0.522043992,7.156022971,24,3.094005013,5.916184629,0.156154982,2.882745392,0.95254895,7.48233038,20.98211573
SA,0-10 m,2018-09-24 00:00:00,4.5,23.65690986,1.949981529,9.021412891,2.172003081,7.769823534,0,3.30997261,4.57777319,0,0,0,0,2.670773712
SA,0-10 m,2018-11-14 00:00:00,4.5,22.65985441,2.714807095,8.85264826,0.514350076,6.845965565,22.5,2.822507249,5.712438091,1.514,1.319,2.149,6.434,25.93324311
