location,depth_group,date,feature,original_value,z_score,replacement_value
WG,10-30m,2014-08-10,dissolved_oxygen,8.1045,2.3079573564344336,7.08925
WG,10-30m,2014-09-09,dissolved_oxygen,8.0195,2.1714912318271566,6.8925
WG,10-30m,2017-09-13,dissolved_oxygen,4.764,-3.055161340631607,6.77725
WG,10-30m,2018-02-28,dissolved_oxygen,5.103181417,-2.510611063963428,5.718573398
WG,10-30m,2018-07-02,dissolved_oxygen,4.289126716,-3.81756271412586,6.034368901500001
WG,30m+,2015-11-02,dissolved_oxygen,5.159681192,3.424369976845954,3.5115448225000003
WG,30m+,2016-01-20,dissolved_oxygen,4.26508312,2.114225844923965,4.029315927
WG,30m+,2019-12-02,dissolved_oxygen,5.008885093,3.203528203981528,2.480725729
WP,0-10m,2014-07-10,dissolved_oxygen,8.796,2.317438793558891,6.912
WP,0-10m,2017-12-13,dissolved_oxygen,4.602,-3.658552597510347,5.6634268604999995
WP,0-10m,2018-02-28,dissolved_oxygen,5.242853721,-2.7454061216804257,5.465336023500001
WP,0-10m,2018-07-02,dissolved_oxygen,4.088988575,-4.389537780943862,6.969704001
WP,0-10m,2023-02-14,dissolved_oxygen,5.743212947,-2.0324489383189412,6.9851837670000005
WP,10-30m,2017-12-13,dissolved_oxygen,4.6225,-2.410376864509689,4.6669768725
WP,10-30m,2018-02-28,dissolved_oxygen,3.673953745,-3.688218036309913,4.5421432835
WP,10-30m,2018-03-13,dissolved_oxygen,4.461786567,-2.6268831660908982,4.980811608
WP,10-30m,2018-07-02,dissolved_oxygen,3.028878936,-4.557235383103787,6.064043052000001
WP,30m+,2015-10-02,dissolved_oxygen,6.584498055,2.7227052615043585,4.018529121
WP,30m+,2019-12-02,dissolved_oxygen,7.14624961,3.28263216503711,3.7443492265000002
SA,0-10m,2014-08-12,secchi,4.0,-2.032366200188924,6.15
SA,0-10m,2016-01-03,secchi,3.6,-2.4396694813563107,6.35
SA,0-10m,2017-05-16,secchi,8.5,2.549795712944175,6.5
SA,0-10m,2018-05-15,secchi,8.475,2.5243392578712127,4.895485174999999
SA,0-10m,2019-08-13,secchi,8.175,2.218861796995674,6.59
SA,0-10m,2020-09-06,secchi,3.5,-2.5414953016481574,4.825
SA,10-30m,2014-08-12,secchi,4.0,-2.032366200188924,6.15
SA,10-30m,2016-01-03,secchi,3.6,-2.4396694813563107,6.35
SA,10-30m,2017-05-16,secchi,8.5,2.549795712944175,6.5
SA,10-30m,2018-05-15,secchi,8.475,2.5243392578712127,4.895485174999999
SA,10-30m,2019-08-13,secchi,8.175,2.218861796995674,6.59
SA,10-30m,2020-09-06,secchi,3.5,-2.5414953016481574,4.825
SA,30m+,2014-08-12,secchi,4.0,-2.032366200188924,6.15
SA,30m+,2016-01-03,secchi,3.6,-2.4396694813563107,6.35
SA,30m+,2017-05-16,secchi,8.5,2.549795712944175,6.5
SA,30m+,2018-05-15,secchi,8.475,2.5243392578712127,4.895485174999999
SA,30m+,2019-08-13,secchi,8.175,2.218861796995674,6.59
SA,30m+,2020-09-06,secchi,3.5,-2.5414953016481574,4.825
WG,0-10m,2014-04-23,secchi,11.0,2.3722996428276675,9.86595092
WG,0-10m,2014-04-27,secchi,10.63190184,2.1522056989318035,10.0
WG,0-10m,2015-04-14,secchi,12.0,2.970221522947535,8.668019802
WG,0-10m,2016-09-03,secchi,3.5,-2.1121144580713396,6.05
WG,0-10m,2017-04-19,secchi,10.4,2.013546514755747,8.5
WG,0-10m,2017-05-17,secchi,12.4,3.2093902749954824,8.6
WG,10-30m,2014-04-23,secchi,11.0,2.3722996428276675,9.86595092
WG,10-30m,2014-04-27,secchi,10.63190184,2.1522056989318035,10.0
WG,10-30m,2015-04-14,secchi,12.0,2.970221522947535,8.668019802
WG,10-30m,2016-09-03,secchi,3.5,-2.1121144580713396,6.05
WG,10-30m,2017-04-19,secchi,10.4,2.013546514755747,8.5
WG,10-30m,2017-05-17,secchi,12.4,3.2093902749954824,8.6
WG,30m+,2014-04-23,secchi,11.0,2.3722996428276675,9.86595092
WG,30m+,2014-04-27,secchi,10.63190184,2.1522056989318035,10.0
WG,30m+,2015-04-14,secchi,12.0,2.970221522947535,8.668019802
WG,30m+,2016-09-03,secchi,3.5,-2.1121144580713396,6.05
WG,30m+,2017-04-19,secchi,10.4,2.013546514755747,8.5
WG,30m+,2017-05-17,secchi,12.4,3.2093902749954824,8.6
WP,0-10m,2016-10-08,secchi,9.55,2.0251031654170695,6.3
WP,0-10m,2017-04-19,secchi,11.4,3.1142953777202216,7.1
WP,0-10m,2018-08-14,secchi,10.4,2.5255428305293286,7.875
WP,0-10m,2022-08-02,secchi,10.1125,2.3562764732119468,4.7875
WP,0-10m,2022-10-18,secchi,2.325,-2.2286339880371346,4.525
WP,0-10m,2023-11-04,secchi,10.4,2.5255428305293286,4.925
WP,10-30m,2016-10-08,secchi,9.55,2.0251031654170695,6.3
WP,10-30m,2017-04-19,secchi,11.4,3.1142953777202216,7.1
WP,10-30m,2018-08-14,secchi,10.4,2.5255428305293286,7.875
WP,10-30m,2022-08-02,secchi,10.1125,2.3562764732119468,4.7875
WP,10-30m,2022-10-18,secchi,2.325,-2.2286339880371346,4.525
WP,10-30m,2023-11-04,secchi,10.4,2.5255428305293286,4.925
