location,depth_group,date,mean_total_dissolved_solids
SA,Deep,2022-09-06,253.63133041226573
WG,Surface,2022-09-06,244.0
WG,Mid-Depth,2022-09-06,243.9942444984518
WG,Lower Photic,2022-09-06,246.3092175755272
WG,Deep,2022-09-06,249.5650701064099
WP,Surface,2022-09-06,243.45658531076944
WP,Mid-Depth,2022-09-06,242.3767439192356
WP,Lower Photic,2022-09-06,244.1474998583222
WP,Deep,2022-09-06,249.05875547291828
SA,Surface,2022-10-18,242.0
SA,Mid-Depth,2022-10-18,242.414847371046
SA,Lower Photic,2022-10-18,243.1055199227923
SA,Deep,2022-10-18,252.6208695568122
WG,Surface,2022-10-18,242.0
WG,Mid-Depth,2022-10-18,242.0
WG,Lower Photic,2022-10-18,241.9978358169901
WG,Deep,2022-10-18,248.9546584467843
WP,Surface,2022-10-18,241.2153789217156
WP,Mid-Depth,2022-10-18,240.3790148182051
WP,Lower Photic,2022-10-18,241.9270451545909
WP,Deep,2022-10-18,249.2158736368171
SA,Surface,2022-11-08,242.2859494215357
SA,Mid-Depth,2022-11-08,242.6662861590615
SA,Lower Photic,2022-11-08,244.83074123670707
SA,Deep,2022-11-08,252.8659085857037
WG,Surface,2022-11-08,241.0
WG,Mid-Depth,2022-11-08,241.0
WG,Lower Photic,2022-11-08,241.5544814632948
WG,Deep,2022-11-08,249.23863055060923
WP,Surface,2022-11-08,240.73288141530665
WP,Mid-Depth,2022-11-08,241.3334357450552
WP,Lower Photic,2022-11-08,242.0281476426806
WP,Deep,2022-11-08,249.3197357731287
SA,Surface,2022-12-06,245.0
SA,Mid-Depth,2022-12-06,245.0
SA,Lower Photic,2022-12-06,245.0
SA,Deep,2022-12-06,246.24419764812765
WG,Surface,2022-12-06,244.0
WG,Mid-Depth,2022-12-06,244.0
WG,Lower Photic,2022-12-06,244.0
WG,Deep,2022-12-06,248.2832322279832
WP,Surface,2022-12-06,244.0
WP,Mid-Depth,2022-12-06,244.0
WP,Lower Photic,2022-12-06,244.0
WP,Deep,2022-12-06,248.3479312344666
SA,Surface,2023-01-17,247.22735217366449
SA,Mid-Depth,2023-01-17,246.9992019818781
SA,Lower Photic,2023-01-17,247.9285509323454
SA,Deep,2023-01-17,248.0
WG,Surface,2023-01-17,246.0
WG,Mid-Depth,2023-01-17,246.0
WG,Lower Photic,2023-01-17,246.31751163408492
WG,Deep,2023-01-17,247.43689972856228
WP,Surface,2023-01-17,246.55389071723548
WP,Mid-Depth,2023-01-17,246.0
WP,Lower Photic,2023-01-17,246.4215037172668
WP,Deep,2023-01-17,247.29118022618616
SA,Surface,2023-02-14,248.0
SA,Mid-Depth,2023-02-14,248.0
SA,Lower Photic,2023-02-14,248.1053771199995
SA,Deep,2023-02-14,249.16618455862545
WG,Surface,2023-02-14,247.0
WG,Mid-Depth,2023-02-14,247.5784748286096
WG,Lower Photic,2023-02-14,248.0
WG,Deep,2023-02-14,248.31682171535368
WP,Surface,2023-02-14,248.0
WP,Mid-Depth,2023-02-14,248.0
WP,Lower Photic,2023-02-14,248.0
WP,Deep,2023-02-14,248.0
SA,Surface,2023-03-14,249.0
SA,Mid-Depth,2023-03-14,249.0
SA,Lower Photic,2023-03-14,249.6348067812084
SA,Deep,2023-03-14,251.8892158095537
WG,Surface,2023-03-14,248.0
WG,Mid-Depth,2023-03-14,248.0
WG,Lower Photic,2023-03-14,248.4556753014513
WG,Deep,2023-03-14,249.0
WP,Surface,2023-03-14,248.29843545525645
WP,Mid-Depth,2023-03-14,248.0
WP,Lower Photic,2023-03-14,248.42017227448667
WP,Deep,2023-03-14,249.0
SA,Surface,2023-04-11,250.0
SA,Mid-Depth,2023-04-11,250.0
SA,Lower Photic,2023-04-11,250.402966052358
SA,Deep,2023-04-11,253.0635637763853
WG,Surface,2023-04-11,249.0
WG,Mid-Depth,2023-04-11,249.0
WG,Lower Photic,2023-04-11,249.0
WG,Deep,2023-04-11,249.0
WP,Surface,2023-04-11,249.0
WP,Mid-Depth,2023-04-11,249.0
WP,Lower Photic,2023-04-11,249.0
WP,Deep,2023-04-11,249.0
SA,Surface,2023-05-09,249.9384977612899
SA,Mid-Depth,2023-05-09,249.8073060429702
SA,Lower Photic,2023-05-09,252.35373784769408
SA,Deep,2023-05-09,252.3393313367698
WG,Surface,2023-05-09,250.0
WG,Mid-Depth,2023-05-09,250.0
WG,Lower Photic,2023-05-09,249.7720319494455
WG,Deep,2023-05-09,249.08971757119323
WP,Surface,2023-05-09,248.44574343718315
WP,Mid-Depth,2023-05-09,249.0
WP,Lower Photic,2023-05-09,249.0
WP,Deep,2023-05-09,249.12813414584937
SA,Surface,2023-06-13,249.0
SA,Mid-Depth,2023-06-13,248.74966138954133
SA,Lower Photic,2023-06-13,253.4611658700622
SA,Deep,2023-06-13,254.4257090784164
WG,Surface,2023-06-13,249.0
WG,Mid-Depth,2023-06-13,249.0
WG,Lower Photic,2023-06-13,249.70987218242908
WG,Deep,2023-06-13,250.0
WP,Surface,2023-06-13,248.681000490276
WP,Mid-Depth,2023-06-13,248.0948453785295
WP,Lower Photic,2023-06-13,249.7412898357988
WP,Deep,2023-06-13,250.0
SA,Surface,2023-07-18,248.40949259867423
SA,Mid-Depth,2023-07-18,248.3510850649074
SA,Lower Photic,2023-07-18,252.4835984220988
SA,Deep,2023-07-18,253.81594116032124
WG,Surface,2023-07-18,248.4246575342466
WG,Mid-Depth,2023-07-18,248.42426515315088
WG,Lower Photic,2023-07-18,249.4632823275529
WG,Deep,2023-07-18,249.874887083123
WP,Surface,2023-07-18,244.1381796626221
WP,Mid-Depth,2023-07-18,247.5358559353988
WP,Lower Photic,2023-07-18,249.0183105758452
WP,Deep,2023-07-18,250.0325228885832
SA,Surface,2023-08-16,247.0
SA,Mid-Depth,2023-08-16,247.1452055408748
SA,Lower Photic,2023-08-16,251.74687522677212
SA,Deep,2023-08-16,254.1937671227062
WG,Surface,2023-08-16,247.0
WG,Mid-Depth,2023-08-16,246.9990452060004
WG,Lower Photic,2023-08-16,249.0725410086871
WG,Deep,2023-08-16,250.2417280262167
WP,Surface,2023-08-16,237.76795737484065
WP,Mid-Depth,2023-08-16,246.1915449606958
WP,Lower Photic,2023-08-16,248.4268142047243
WP,Deep,2023-08-16,250.60225854137613
SA,Surface,2023-09-05,234.350997737658
SA,Mid-Depth,2023-09-05,245.9223483815569
SA,Lower Photic,2023-09-05,250.7838977824233
SA,Deep,2023-09-05,255.1472690570348
WG,Surface,2023-09-05,238.61459291314569
WG,Mid-Depth,2023-09-05,246.0057750821948
WG,Lower Photic,2023-09-05,247.6845152384325
WG,Deep,2023-09-05,250.55160670261765
WP,Surface,2023-09-05,235.320443147992
WP,Mid-Depth,2023-09-05,246.0835285486333
WP,Lower Photic,2023-09-05,248.22244530115591
WP,Deep,2023-09-05,250.3558119370769
SA,Surface,2023-10-18,300.0
SA,Mid-Depth,2023-10-18,300.0
SA,Lower Photic,2023-10-18,300.0
SA,Deep,2023-10-18,300.0
WG,Surface,2023-10-18,300.0
WG,Mid-Depth,2023-10-18,300.0
WG,Lower Photic,2023-10-18,300.0
WG,Deep,2023-10-18,300.0
WP,Surface,2023-10-18,300.0
WP,Mid-Depth,2023-10-18,300.0
WP,Lower Photic,2023-10-18,300.0
WP,Deep,2023-10-18,300.0
SA,Surface,2023-11-14,242.4784521820731
SA,Mid-Depth,2023-11-14,244.64825887631252
SA,Lower Photic,2023-11-14,245.1392214803433
SA,Deep,2023-11-14,251.04339084488325
WG,Surface,2023-11-14,244.0
WG,Mid-Depth,2023-11-14,244.0
WG,Lower Photic,2023-11-14,244.0
WG,Deep,2023-11-14,249.5594235393569
WP,Surface,2023-11-14,244.0
WP,Mid-Depth,2023-11-14,244.0
WP,Lower Photic,2023-11-14,244.0
WP,Deep,2023-11-14,249.0928094980761
SA,Surface,2023-12-05,245.68955716247083
SA,Mid-Depth,2023-12-05,246.0
SA,Lower Photic,2023-12-05,245.9979301834914
SA,Deep,2023-12-05,250.2854033238613
WG,Surface,2023-12-05,237.8850480631336
WG,Mid-Depth,2023-12-05,244.5490650912257
WG,Lower Photic,2023-12-05,245.0
WG,Deep,2023-12-05,249.3456951555176
WP,Surface,2023-12-05,231.5404669235745
WP,Mid-Depth,2023-12-05,245.0
WP,Lower Photic,2023-12-05,245.0
WP,Deep,2023-12-05,249.0593999229294
