location,date,depth_group,mean_temp,std_temp,measurement_count
SA,2016-01-19,Deep,21.36431818181818,0.1963493937234959,22
SA,2016-02-16,Surface,20.9,0.0115470053837929,10
SA,2016-02-16,Mid-Depth,20.811,0.0303498123735738,10
SA,2016-02-16,Lower Photic,20.686,0.038643671323172,10
SA,2016-02-16,Deep,20.638484848484847,0.0105272271193558,22
SA,2016-03-01,Surface,21.147,0.0794494947889682,10
SA,2016-03-01,Mid-Depth,20.798,0.0487168690838531,10
SA,2016-03-01,Lower Photic,20.732,0.004216370213557,10
SA,2016-03-01,Deep,20.64598484848485,0.0357558560375955,22
SA,2016-04-12,Surface,22.469,0.0562632700396588,10
SA,2016-04-12,Mid-Depth,22.258000000000003,0.1126252389317974,10
SA,2016-04-12,Lower Photic,21.311,0.5251550035730189,10
