location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus,nitrogen
WP,30m+,17/07/2018,20.34087068,0.483742228,8.049956475,2.477720031,8.43433748,1.476914886,297.3336863,0.761227742,87.86333333,31.52459981,1.15162037,65.17857143,86.93333333
WG,0-10m,18/07/2018,22.38932946,1.103682995,8.787404465,6.66351473,8.75,3.6,243.5907774,0.224587246,0,14.90614164,4.28884291,35.11904762,31.7
WG,10-30m,18/07/2018,22.16106508,1.428974658,8.689910335,6.23941576,8.929570228,2.118051969,277.6807073,0.235367885,0,14.15756245,0.414567276,45.23809524,29.2
WG,30m+,18/07/2018,20.27768977,0.434651079,8.089062764,2.501881882,10.63034908,1.134366104,304.5140218,0.161010778,84.32,35.16269471,2.063195206,58.51190476,112.5648108
SA,0-10m,14/08/2018,23.27504729,1.529208257,8.920381115,7.063523945,6.6,3.1,283.8133691,0.434617513,0,13.13662703,4.422505801,24.43533639,59.75003213
SA,10-30m,14/08/2018,22.73934259,2.015675927,8.726710445,6.14836972,6.547474686,3.302884393,270.1289491,0.434315505,7.738005007,14.24707286,8.09542554,26.71672256,63.80137573
SA,30m+,14/08/2018,20.89033218,0.84797023,8.051557824,2.558253659,5.071530681,2.110785915,287.8281314,0.414888944,91.76774507,38.15867309,10.96030294,44.20734987,128.1727241
WP,0-10m,14/08/2018,23.37909296,0.694821349,8.844043224,7.008939853,7.675,2.8,245.6966227,0.442260118,0.735749058,20.02139118,8.903467883,21.58360368,51.14717904
WP,10-30m,14/08/2018,22.66116313,1.278810784,8.694057188,6.501608675,9.065168368,2.734662872,257.2255661,0.403222769,0,15.80169703,11.25413652,29.283282,55.398589
WP,30m+,14/08/2018,20.46345357,0.643698971,8.023913754,2.574589645,7.627336603,2.41048514,293.6480441,0.690919155,77.79392287,35.78972198,6.822146697,45.15792744,164.0012731
WG,0-10m,16/08/2018,23.3568157,0.716428459,8.931597093,7.071328381,8.225,3.4,285.0309637,0.352986312,0,15.00217603,4.011045223,22.43912349,47.74605108
WG,10-30m,16/08/2018,22.8374051,1.336569196,8.79762559,6.64927715,9.971476088,3.130584554,257.8410352,0.256549964,0,14.76528092,2.53415776,21.01325714,49.31323749
WG,30m+,16/08/2018,20.314168,0.487950941,8.054056088,2.34995885,8.791706267,1.468628971,299.8054085,0.139987446,90.58769265,36.42933878,3.960886781,39.2643465,111.8473099
SA,0-10m,24/09/2018,23.65690986,1.949981529,9.021412891,7.673712424,6.875,4.512415673,297.4578827,0.518197034,0,0,7.753872375,0,2.278945293
SA,10-30m,24/09/2018,23.1386725,1.162482543,8.611790073,6.085640584,5.642247017,3.50637983,241.2306475,0.589775271,0,0,18.17540378,0,36.47701083
SA,30m+,24/09/2018,20.90269164,0.564055165,7.757249564,1.194509144,8.589287759,2.029980153,305.3597583,0.389785749,84.4541751,44.59345954,30.22886515,62.12352157,169.7256378
WG,0-10m,24/09/2018,23.85313504,2.100122294,9.138806955,7.673712424,7.5,1.4,229,0.607878602,0,0,2.855358276,0,0
WG,10-30m,24/09/2018,23.33060604,1.406635911,8.88406351,6.810750431,4.792176309,3.549088984,254.1429466,0.508781938,0,0,16.47293101,0,18.72215888
WG,30m+,24/09/2018,20.325499,0.422751858,8.105527734,2.329691494,8.012792417,0.8018728,287.0929709,0.085078492,86.25654813,43.2244408,2.960665111,83.0427744,152.7976891
SA,0-10m,04/10/2018,21.5113993,2.87748944,8.775691838,6.949879534,7.55,2.8,276.3871421,0.428991139,0.84793116,19.14662444,3.133094592,19.60745559,35.65
SA,10-30m,04/10/2018,21.08208254,2.19978639,8.469688565,5.835450084,7.883905167,1.292630624,278.3590035,0.537865428,4.639693077,19.59648925,5.787965764,29.26562566,38.2
SA,30m+,04/10/2018,20.73054767,0.724161907,8.119849686,2.707202733,3.038487322,2.098836837,280.330865,1.158668763,35.67427456,42.68954979,2.371048237,64.18034312,105.9666667
WP,0-10m,04/10/2018,21.88246262,1.366780503,8.890111727,6.842091646,6.45,2.2,276.3871421,0.326063226,0,22.29567815,1.658166162,26.55312087,25.8
WP,10-30m,04/10/2018,21.26361902,1.89020671,8.739770165,6.151359694,12.55979051,1.033640508,276.3871421,0.444265282,0,22.07074574,2.616869641,45.08594588,24.8
WP,30m+,04/10/2018,20.3790128,0.545843951,8.336448793,3.106004989,9.738515009,1.041125991,282.3027264,0.297608379,31.42871944,49.7374319,2.666033922,56.38589164,75.76666667
WG,0-10m,10/10/2018,23.02549205,2.344304056,9.090432555,6.916278506,5.5,0.8,222,0.707710611,4.229964327,5.58661856,4.76274475,31.64211598,27.01688739
WG,10-30m,10/10/2018,23.01198764,2.350160047,8.981077593,6.821188046,5.838738534,3.503961692,297.134881,0.586823151,5.891323691,21.29177549,7.342725427,16.285,39.99607944
WG,30m+,10/10/2018,20.32959812,0.498297575,8.061937169,2.168371528,8.931975395,0.865666069,292.8260016,0.114229598,86.45017346,47.98027745,12.96535128,71.13213029,110.7018477
SA,0-10m,01/11/2018,20.52023804,1.696450114,8.676007784,1.630856186,6.623698823,0.349774678,276.3871421,0.707747683,10.55987777,1.700277926,5.541461247,25.84620506,51.05
SA,10-30m,01/11/2018,20.38456305,1.696450114,8.676007784,6.281488539,7.119490421,0.55004282,276.3871421,0.354415067,11.2310916,2.841189651,20.84528098,22.60568799,54.05
SA,30m+,01/11/2018,20.55432604,1.696450114,8.676007784,6.169966385,5.571109026,0.227685788,276.3871421,0.389022744,7.59026504,2.384824961,35.22683662,23.98045281,47.43333333
WG,0-10m,01/11/2018,20.5025402,1.696450114,8.676007784,1.630856186,9.513495268,0.349774678,276.3871421,0.379124134,21.20463621,15.61940098,5.800848022,23.48946537,55
WG,10-30m,01/11/2018,20.50473874,1.696450114,8.676007784,5.897236852,10.07056643,0.284013732,276.3871421,0.38878185,15.07531629,1.319974018,6.290800819,25.35521763,50.06666667
WG,30m+,01/11/2018,20.39692361,1.696450114,8.676007784,1.630856186,7.542302147,0,276.3871421,0.141163854,27.8893986,30.93297169,36.68796328,48.0715696,51.21666667
WP,0-10m,01/11/2018,20.71172847,1.696450114,8.676007784,6.832807484,6.758213534,0.455371576,276.3871421,0.636881634,5.373225402,1.472095581,4.936225438,25.5516126,40.8
WP,10-30m,01/11/2018,20.5100295,1.696450114,8.676007784,6.557148011,9.782298535,0.683057364,276.3871421,0.37804415,14.7702191,2.613007306,1.477735104,23.48946537,53.85
WP,30m+,01/11/2018,20.46942665,1.696450114,8.676007784,6.089362695,10.4690209,0.417028276,276.3871421,0.330785985,35.25241098,7.70907968,17.06976236,27.90835229,72.1
