,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07765486924866,,,,,,,,,,,,,,,,8.08680659529598,,,,,,,,,7.54649018731779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78300785018225,,,,
28.0,,,,,,,,,,,,,,,,,,8.41,,,,,,,,,,,,,,,,,,,,9.17,,,,,8.84,,9.09040488361091,,,,,,,,,,8.52668700988526,,,,,,,,,,,,,,,,,,,,,,,,,,7.55499760796785,,,,,,,,,,,7.51544302827531,,,,,,7.21271429988121,7.62712060338572,,,,,,,,
29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,,,,,,,,,,,,,,,,8.27787619721136,,,,,,,,,,,,,6.24785290154253,,,,,,,,,,,,,,,,,,,,,,,8.26363919023061,,,,,,6.1644191937587,,,5.67972857374633,,,,
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.161666666666667,,,,,,,,,,,,,,,,,8.509764501137719,8.009784743362786,,,,,,,,,,,,,,,,,,7.734708672673295,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64297852758673,5.482443028989064,,,,
40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9075363023661565,,,,,,,,,,,,,,,,,,,,,,,,,,7.749634016014324,,,,,,,,,,,,,,,,,8.93673407236494,,
50.0,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,,,,,,,,,,,7.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.925177570313311,,,,7.4892284187257925,,7.759099833424145,,,,,,,,7.335046401273421,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,,,7.893000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.887333254391232,,,,,,,,,,,7.153834107783754,,,,,,,7.682461063707796,,,,,,,,,,,,,,7.039553917281102,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.011,,,,,,,,,,,,,,,,,,,,,,,,,,6.760519418550305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.148,,,,9.117999999999999,,,,,,,,,,,,,,,7.984359963934956,,,,8.031035844864547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5028281578807725,,,,,,,,,,,,6.1928309218486985,
100.0,,,7.682499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.132000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,7.76,,,,,,,7.7700000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
