location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,10-30m,2015-04-14,21.345,1.12,8.6225,6.8875,7.1,1.307106433,,,,,,
SA,30m+,2015-04-14,20.53113636,0.558787879,8.10469697,4.053484848,7.1,1.307106433,,,,,,
WG,0-10m,2015-04-14,22.204,0.29,8.741,7.193,12.0,4.2,,,,,,
WG,10-30m,2015-04-14,21.5595,0.722,8.657,7.0075,12.0,4.2,,,,,,
WG,30m+,2015-04-14,20.41555889,0.451963434,8.231232221,3.540798923,12.0,4.2,,,,,,
WP,0-10m,2015-04-14,22.788,0.337,8.774,7.176,8.0,3.9,,,,,,
WP,10-30m,2015-04-14,21.746000000000002,0.758,8.7285,7.1455,8.0,3.9,,,,,,
WP,30m+,2015-04-14,20.68773012,0.568436445,8.445594175,5.121744315,8.0,3.9,,,,,,
WG,0-10m,2015-05-05,23.315,0.535,8.746,7.248,9.336039604,2.631683168,,,,,,
WG,10-30m,2015-05-05,22.485500000000002,0.841,8.614,7.182,9.336039604,2.631683168,,,,,,
WG,30m+,2015-05-05,20.40734929,0.501004763,8.15923161,3.444313397,9.336039604,2.631683168,,,,,,
WP,0-10m,2015-05-05,23.741,0.463,8.782,6.746,6.552122987,2.503660322,,,,,,
WP,10-30m,2015-05-05,22.1645,0.8260000000000001,8.592500000000001,7.2115,6.552122987,2.503660322,,,,,,
WP,30m+,2015-05-05,20.58719215,0.57489234,8.234239782,4.601400663,6.552122987,2.503660322,,,,,,
SA,0-10m,2015-06-10,23.903,1.836,8.957,7.973,6.05,1.386740275,,,,,,
SA,10-30m,2015-06-10,23.430999999999997,1.666,8.665500000000002,6.7989999999999995,6.05,1.386740275,,,,,,
SA,30m+,2015-06-10,21.18363636,0.474166667,8.008712121,2.379545455,6.05,1.386740275,,,,,,
WP,0-10m,2015-06-10,24.536,0.959,8.749,8.117,6.6,2.5,,,,,,
WP,10-30m,2015-06-10,23.4205,0.9804999999999999,8.285,6.8525,6.6,2.5,,,,,,
WP,30m+,2015-06-10,21.01324291,0.391782294,7.914764661,2.866165395,6.6,2.5,,,,,,
WG,0-10m,2015-07-10,23.94,1.213,8.031,8.155,7.55,1.7,,,,,,
WG,10-30m,2015-07-10,23.722,1.531,8.099,7.911,7.55,1.7,,,,,,
WG,30m+,2015-07-10,20.69948825,0.385040099,7.752111365,2.95648525,7.55,1.7,,,,,,
