,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
60.0,,,,,,,,,,0.196,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,,0.122,,0.132,,,,,,0.915,,1.382698142618483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4826376512332211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,,0.189,,,,,,,,,,,,,,,,,,,0.834,,,,,,0.06,,,,,,1.3357757478036971,,,0.43351690587012365,,,,,,,,,,,,,,,,,,,1.1828719421798835,,,,0.5813766325492782,0.4567116027806499,,,,,,,,,,,0.49166138819453203,,,,,,,,,,,,,,,,,,0.4959163546105301,,,,,,,,,,,,
80.0,,,,,,,,0.149,,,,,,,,,0.154,,,,,,,,,,,,0.09,,,,,,,,,0.23700000000000002,,,,,,,,0.06,,,,,0.527514556312324,,,,,,,,,,,,,,,,,,0.41196918250408476,,,,,,,,,,,,,,,,,,,,,,,,,,1.2185952355985388,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,0.083,,,,,,,0.07,,,0.06999999999999999,,,,,,,,0.588082305470423,,,,,,,,,,,,,,,0.3812934441007756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4331288973884698,,,0.87006788,,,,,,,,,
100.0,,,,,,,,,,,,,1.956,0.844,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,1.17193336746984,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44793104648258425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3707087765049655,,,0.40264180795420385,,,,,,,,,,,,,0.45752138087616145,,,,0.4948434150444655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44108107234074395,,,,,,,,,,,,,,0.4588842102553582,,,,,,,,,,,,0.47101899447373896,,,0.495813847992736,,,,,,,,,,0.429810057600723
140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43311787841067073,,,,,,,,,,,,,,,,,,,,,,,,0.453747038361027,,,0.4832890300441498,,,,,,,,,,,0.4929644633976683,,,,,,,,,,,,,,,,,,,,
150.0,,,,,,,,0.14,,,,,,,,,0.151,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4511225385605896,0.44925199586044506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5021321923264103,,,,,,,,,,,,,
