,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
27.0,,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.826397340128,,,,,,8.54407176191648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12981474038716
28.0,,,,,,,,,12.37,,,11.07,,,,,,,,,,,,,,,8.59,,,8.26,,,,,,,,,,,,,,,,,8.79,,,,,,,,,,,,,,,,,8.17710363520476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19322459007044,,,,,,,,,,,,,
29.0,,,,,,,,,,8.63,,,8.64,,,8.58,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54231781901926,,,,,,,,,,,,,,,,,,,7.51741610854795,,,,,,,,,,,,,,,,,,,7.22790662305372,,,,,,,,,,,,,,,,,7.61578839297318,,,,
30.0,,,,,,,,,,,,,,8.428333333333333,,,,,,8.428333333333333,,,,,,,,,,,,,8.221666666666666,,,,8.953333333333333,,,,,,8.025,,,,8.34,,,9.189807194413358,,,,,,,,,,,,,,,,,,8.393980718662744,,,,,,,,,,,,,7.42974511100882,7.581991665492701,,,,,,,,,,,,,,8.252736172810168,,,,,,,,7.507037164850396,,,,,,,,,,,,,9.116324165142714,,
40.0,,,,,8.209,,,,,,,,,,8.047,,,8.214,,,,,,,,,,,8.503,,,8.173,,,,,,,,8.26,,,,,,,,,8.494,,,,,8.300809219106364,,,,,,,,,,,,,,,,,,,,8.48590745809376,,,,,,,,,,,,,,,,,,,,,,8.213803359265857,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,,,7.795,,7.324,,,,,,,,,,,,,,,,,,8.527,,,,,,,,,,,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9938801289163575,,,,,,,,7.490728323467124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.914875458095442,,,,
60.0,,,,,8.178999999999998,,,,,,,,,,,,,,,,,,,,,,8.498999999999999,,8.516,,,,8.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.973933261659733,,,,,,,,,,,,7.560883654754711,,,,,,,,,,,,,,,,,,7.1767331596,,6.726792797654665,,,,,,,
70.0,,,,,,8.147,,,,,7.081999999999999,,,,,,,8.148,,,,,,,,,,,,,,,,,,,8.393,,,,,,,,,,,,,,,,,,,,8.102794246689081,,,,,,,,,,,,,,,5.359735521157223,,,,7.395865611703338,,,,,,6.971826460880244,,,,,,,,7.361145385642116,,,,,,,,,,,,,,,,,,,,,,,,,6.841306071976663,6.728895578608831,,6.817961971571016,
80.0,,,,,,,,,,,,,,,7.987,8.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10574186567867,,,,,,,,,,,,4.856382025168382,,,,,,,,,,,,,,,8.148115323839347,,,,,,,,,,,,,,,,,,,,,7.066606810659371,,,,,,,,,,,
90.0,,,,,,8.103,,,,,,,,,,,,,,,,,7.869,,,,,8.251999999999999,,,,,,,,,,,8.143,8.181999999999999,,,,,,,,,,,,,,,,,,,8.107849951023221,,8.063638416005519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
