Sitio,Fecha,Profuidad (m),Depth Group,Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),NT (µg/l),PT (µg/l)
WP,2022-06-14,65.0,30+ m,20.70561326022921,0.5600577446778704,7.24498981682247,0.9008045541502756,3.492909805894223,249.0048263100217,1.354763175055895,9.776583313491546,111.3528863731973,53.3900786429366,12.75477777777778,197.2028102244959,23.99240855762595
WG,2022-06-14,19.5,10-30 m,22.68112315227588,1.58241677677977,8.276603948157417,0.4340659233452769,6.510087486660241,246.7367767209766,3.054462590308051,5.729809796000518,9.857909090909091,30.54844827586207,16.51144444444445,14.03824417768118,13.09523809523809
WG,2022-06-14,4.5,0-10 m,23.19544964262516,1.284872465529592,8.82758118224261,0.4738952754980985,7.274676246021256,246.0,1.1,6.425,7.594613636363636,7.87137931034483,12.93366666666667,0.0,12.14285714285714
WG,2022-06-14,161.0,30+ m,20.47538291249282,0.5278130627180412,6.881347671400768,0.1240222146862353,1.172124433080498,249.0098435107656,0.0,7.686871995934883,94.45486363636364,101.9246487949574,58.23744654088051,222.2815551606017,36.78053830227744
SA,2022-06-14,19.5,10-30 m,22.41434640184531,1.982089378578107,7.685794374206464,0.5062760061049276,6.248032816441706,247.0391181606849,3.351081485183425,5.838656541188777,14.88745454545455,11.2448275862069,12.12866666666667,24.68862167142433,12.85714285714286
SA,2022-06-14,39.5,30+ m,20.9153400760096,0.7317245620771567,6.663063987215951,0.4645197504105583,3.298494679740079,252.0329815458666,1.998847533543748,11.07773621518791,119.2361600634629,68.63171696329258,5.152000000000001,203.0180962832003,28.04347826086957
WP,2022-06-14,19.5,10-30 m,22.47722448027407,1.386456752244367,7.982120663089579,1.158702525302523,6.259333124284544,247.240424280963,3.223403514326685,4.62343361625647,66.59118181818182,14.05603448275862,14.27533333333334,57.58386174339274,19.52380952380953
SA,2022-06-14,4.5,0-10 m,23.1490580841854,1.905614482951934,8.686991704305681,0.408644426089941,7.34256627063713,245.1995152732354,1.4,5.75,12.12120454545455,10.68258620689655,11.592,0.0,13.57142857142857
WP,2022-06-14,4.5,0-10 m,23.50415614053759,1.582729826770524,8.755386479483082,1.008462664688625,7.264273564230143,245.3986003008735,2.8,4.05,32.40103258377425,11.80706896551724,8.908666666666669,24.94557867157033,17.38095238095238
WP,2022-07-12,66.5,30+ m,20.7671408314177,0.6224982707719258,7.137494884127787,0.882661428152099,3.405578422496014,249.1897413019123,2.108226385582785,5.975293821494178,146.5495064777379,66.31556748768473,5.845538461538462,196.798727089986,20.80133333333333
