depth,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,depth_group
6.0,304.0,305.0,321.0,318.0,245.0,245.0,245.0,247.0,244.0,243.0,243.0,242.0,240.0,243.062495207889,244.967179708878,238.501489339855,245.993148602594,248.0,248.0,246.0,245.0,243.0,242.043993858245,242.0,242.0,242.0,245.0,247.0,247.656933125582,248.0,249.0,248.0,245.0,246.0,246.0,243.347994737765,242.0,242.0,245.0,247.0,248.0,249.0,250.0,249.910058889131,249.0,247.0,245.0,300.0,244.01551236354,246.0,Surface
6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
7.0,304.0,305.0,321.0,318.0,245.0,245.0,245.0,247.0,244.0,243.0,243.0,242.0,240.0,243.0,244.952079419542,239.085267792957,246.144951689349,248.040900957833,248.008032534915,246.0,245.0,243.0,242.955865863038,242.0,242.0,242.0,245.0,247.0,247.050466120237,248.0,249.0,248.0,245.047627381532,246.0,246.0,243.946970517514,242.0,242.0,245.0,247.0,248.0,249.0,250.0,249.414585066299,249.0,247.0,245.0,300.0,243.998320853903,246.0,Surface
7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
8.0,304.0,305.0,320.0,318.0,245.0,245.0,245.018218828875,247.0,244.0,243.0,243.0,242.0,240.0,243.0,244.878153311313,241.009985663619,247.025254438182,247.447980699051,247.634525417208,246.0,245.0,243.0,243.001722624784,241.992979920712,242.0,242.0,245.0,247.0,246.983212335596,248.0,249.0,248.0,245.947525350822,246.0,246.0,244.0,242.0,242.0,245.0,247.0,248.0,249.0,250.0,249.99657619918,249.0,247.0,245.0,300.0,244.0,246.0,Surface
8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
9.0,304.0,304.0,320.0,318.0,245.0,245.0,246.044406472111,247.0,244.0,243.0,243.0,242.0,240.0,243.002818163058,245.021650656844,240.976323236552,247.0,246.968740204142,246.944139734241,246.0,245.0,243.0,243.0,242.278973387305,242.0,242.0,245.0,247.0,247.0,248.0,249.0,248.0,246.0,246.0,246.0,244.0,242.0,242.0,245.0,247.0,248.0,249.0,250.0,250.0,249.0,247.0,245.0,300.0,244.0,246.0,Surface
10.0,304.0,304.0,320.0,318.0,245.0,245.0,245.453828436493,247.0,244.0,243.0,243.0,242.0,239.973001840261,243.007626330121,245.0,241.914294083028,247.0,247.0,247.502621135581,246.0,245.0,243.0,242.997842232642,243.042819982258,242.0,242.0,245.0,247.0,247.0,248.0,249.0,248.0,246.0,246.0,246.0,244.0,242.0,242.0,245.0,247.0,248.0,249.0,250.0,250.0,249.0,247.0,244.965200385203,300.0,244.0,246.0,Surface
10.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-Depth
11.0,304.0,305.0,320.0,318.0,245.0,245.0,244.975379763246,247.0,244.0,243.0,243.0,242.0,240.350821194449,242.584062183393,245.0,242.462026059845,247.0,247.0,248.010635506885,246.0,245.0,243.0,243.064277421338,243.0,242.0,242.0,245.0,247.0,247.0,248.0,249.0,248.0,246.0,246.0,246.0,244.0,242.0,242.0,245.0,247.0,248.0,249.0,250.0,250.010620114587,249.0,247.0,245.238006086085,300.0,244.0,246.0,Mid-Depth
11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-Depth
12.0,304.0,305.0,320.0,318.0,245.0,245.0,245.0,247.0,244.0,243.0,243.0,242.0,241.055360909371,242.979734644529,245.0,243.042975367562,247.0,246.993477074524,248.0,246.0,246.0,243.0,243.982812079618,243.0,242.0,241.998849053131,245.0,247.0,247.0,248.0,249.0,247.996300382721,246.0,246.0,246.0,244.0,242.0,242.0,245.0,247.0,248.0,249.0,250.0,249.864035262443,249.0,247.0,246.002106540924,300.0,244.0,246.0,Mid-Depth
12.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-Depth
13.0,304.0,305.0,320.0,318.0,245.0,245.0,244.993205239592,247.0,244.0,242.990248511574,243.0,242.0,241.0,243.012739797004,245.0,242.948941133302,247.0,247.240780867243,248.0,246.0,246.0,243.0,244.001458303924,243.014430373876,242.0,241.96396580933,245.0,247.0,247.0,248.0,249.0,247.949282152554,246.0,246.0,246.0,244.0,242.0,241.95521139228,245.0,247.0,248.0,249.0,250.0,248.983181118937,249.0,247.0,246.004723148838,300.0,243.971513441103,246.0,Mid-Depth
13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-Depth
13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-Depth
13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid-Depth
