,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
25.0,,,,,,,,,,,,,6.48,,,6.53,6.98,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41092300971447,,,,,,,,5.10286859914892,,5.74841165287791,,,,,,,,5.60965999300472,,,,6.74892858102019,,,,,5.33779367796091,,,5.81055670604738,,,,,,,,,,,,,,,,,,,,6.03676564545084,,,,,,,
26.0,,,,,6.54,,,,,,,,,,,,,,,,,,,,,,,,6.76,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48218511495512,,,6.15327903552939,,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64340047354838,,4.34038443305428,4.94801187578904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,,,,,,,,,,,,,,,,,6.29,,,,,,,,,,,,,,,7.41,,7.55,,,,,,4.12,,2.42,,,,,,,,,,,,,,,,,,,,,,4.37854601910411,,,,,,,,,,,,,,,,,,,,,,,,,4.4846439438671,,,,,,,,,,,,,,,,,,,,,,,4.27324684372444,,,
29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,,,,,,,,,,,,,,,,,,,,4.4724152368319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.963333333333334,,,,,,,,,,,,,,5.638333333333333,,,,,,,,,,,,,,,,,,,,,,,,5.888333333333333,,,,,,,,6.528487959754144,,5.141247017294545,4.719558107393183,,,,,4.866119181021467,,,,,,,,,4.388241627386988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,,,,,,,,3.499,,,,,,,5.529999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1044610669836397,,,,,,,,6.161349837258805,,,,,,,,,,,,,,,,,,,3.248387046676394,,,5.728618169827916,,,,,,,,,,5.892886793448461,,,,,,,,,,,,,,,,,,3.570846552755941,,,,,,
50.0,,,,,,,,,,,2.503,,,,5.88,,,,,,,,,,,,,6.169,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97199179125691,,,,,,,,,8.119708049942487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.296684096631818,,,,,,,,,,,,,,3.99504525970492,,,,,,,
60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.327,,,,,2.853,5.238,,,,,,,,2.577,,,,,,,,,,,,,,,,,,,,,,,3.147486843585774,,,,,,,,,,,,3.509839977372704,,,,,,4.926461159292576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,2.319,,,,,,,,,,,,2.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.988793172700564,,,,,,,,2.087768848126272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.024523908834223,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,4.008,,,,,3.058,,,,,,,,,,,,2.891,,,,,,,,,,,,,,2.2640000000000002,,,,,,,,2.819340614768807,,,,,,,,,,,,,,,,,,,,2.1526625164793893,,,,,,,,1.0790111768549286,,2.804700728140017,,,,,,,2.4801668302990842,,,,,,,,3.6199761262491443,,,,,,,,,,,4.023450023983743,,,,,3.161892787083433,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8530000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.977680167032954,,,,,,,,,,,1.0729805803665236,,,,,,,,,,,,,1.6104561766460592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,1.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6890605624459825,,,,,,,,,,0.731049829716059,,,,,,,,0.3809744663231223,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.403177902701389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,2.013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.249932638919999,,,,,,,,,,0.4731129620315878,,,,,,,,,,,,,,,,,,,0.08703866808459698,,,,,,,,,,,,,,,,,,,,,,,
130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.857,1.634,,,,,,,,,,,,,2.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08289433915406207,,,,,,,,,,,,,,,,,,,,,,,,0.9933339903949066,,
140.0,,,,,,,,,,,,,,,,,,,2.834,,,,,,,,,,,,,,,,,,,0.32199999999999995,,,2.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08664135746583003,,0.08344151648239419,,,,,,,,,,,,,,,,,,,,
150.0,,,,,,,,1.394,,,,1.18,,,,3.789,,,,,,,,3.12,,,,,,,,,,,,,,,,2.012,,,,0.9019999999999999,1.107,,,,,0.4847279972875926,,,,,,,,,,,2.372664974332705,,,,,,,,0.8904055289208577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,,,,,,,,,,,,,,,5.879,,,,,,,,,,,,,,1.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10343170268454246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09433674901730792,,,,,
