depth,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05,depth_group
248.0,0.0437678945363797,0.298270359875102,0.17327223890638,0.210677158055273,0.0921010724165824,0.578389943352462,0.0980916672237604,0.111874723417847,0.0780189221784533,0.0384853638316119,0.144113182240034,0.0810873768833874,0.034687817788766,0.0344180972845479,0.140237120082528,0.125265927320134,0.0866767304728143,0.178888629523463,0.450816536107658,0.192333842150985,0.202826890849744,,0.0655168836314783,0.136631858870707,0.0783322314145585,0.0425053775631747,,0.075897091907999,0.172626537905999,0.221075827514775,0.123391900032623,0.15207965665316,0.0396065509230301,0.0378268961558368,,0.0162063222157843,0.0016789432879365,0.105421320139432,0.325694409842448,0.356351407897625,0.0619562325650574,0.0763741544239687,0.226041482413374,0.125774872516823,0.0649661993536387,0.0263037665930631,0.0252251420497276,0.0547656774272914,0.696309013346344,0.283882825721967,0.16468364595858,0.169333311095028,0.469949501697574,0.205260202113891,0.189160965546833,0.15091803503152,0.0679368621355984,0.07074673,,0.02775709635291,0.0506873489220092,0.130680091036109,0.0714551311571336,0.166353791143527,0.297199664944776,0.102753559072598,Deep
249.0,0.0502300444953998,0.302490422222643,0.171232837328862,0.213059948759877,0.090514460479276,0.59396602308828,0.0966978950248623,0.121411393664476,0.0784752117526881,0.0410325439231297,0.14864874127693,0.0754520542138934,0.0433820763465704,0.037413164674751,0.10312138226601,0.103914916439425,0.0805258881221685,0.170909162349542,0.457339936586561,0.192740210410187,0.207567458157243,,0.0588169442301179,0.139886042539962,0.0788918831530765,0.0379091421573631,,0.0816205555970604,0.173184607964831,0.199044983010485,0.134462840509542,0.122236656079817,0.0395969157600605,0.0334200886748471,0.0008739076753176,0.0263997160985685,0.0008172043632325,0.123053683112872,0.27983743722157,0.358054254243499,0.0560735491848829,0.0815058425194209,0.180735870967515,0.117404899536572,0.0608931276818825,0.0291179327704909,0.0320938869402769,0.0449314258907652,0.678446853575921,0.228296102343039,0.162911822326163,0.172195242576777,0.41230227920216,0.19848825443564,0.17931800657632,0.159294672991935,0.0699034221688829,0.073883424,,0.0280330994577095,0.0485455612136428,0.130400820212714,0.0712993181954979,0.153567609862083,0.318276479217902,0.102619102010175,Deep
250.0,0.0518131275776912,0.30747610263919,0.171238875646384,0.212853576078942,0.0918397419457152,0.606607253831786,0.0989623572420183,0.129493846586097,0.0787220117593845,0.0434932729173238,0.142809179843258,0.0709272057812717,0.0483610226766343,0.0449909753143349,0.0913505016613111,0.103628006309105,0.0770393918186733,0.169245258015119,0.467166249268376,0.193194697182338,0.20838801993185,,0.0564523303969898,0.14364601293325,0.0718671345889752,0.0363927996202551,,0.0859725570888801,0.17227730941137,0.16344084679878,0.13930660539131,0.086600464363338,0.0412848600759219,0.0291500267710318,0.0040859050214436,0.0382167812082551,0.0021117681789273,0.154707613053627,0.239711006923301,0.344665824941457,0.0508890819019715,0.0860479345037896,0.153268381225624,0.11006305446347,0.0562854557169424,0.0334314950558865,0.0329733178907655,0.0389014574395808,0.67017329523638,0.191316880654925,0.16086437772147,0.16855465228383,0.361073047350076,0.192624057199635,0.167215868262103,0.159984711216645,0.0694517600825603,0.077019889,0.0036048347495461,0.025593131272563,0.0459081709726671,0.135201246564927,0.0688783267027743,0.145233846681276,0.332061646874418,0.104594833103278,Deep
251.0,0.0517421087825463,0.312975719925099,0.174587632332085,0.210036773114209,0.0998865737565299,0.605875331643546,0.102277666850656,0.133954216546153,0.0783204048120373,0.0462433632082055,0.127460595677916,0.0660406385048505,0.0544329423403005,0.0568018050415236,0.0883787745157538,0.115626570010455,0.0741512268013588,0.181394810684126,0.482896776619438,0.19368822077204,0.208654634978105,,0.0558598759387751,0.147979943876162,0.0635725845157298,0.036334642434589,,0.0903244596196904,0.170036394919282,0.135171859877102,0.142659227922532,0.0648512867383569,0.0443048885257612,0.0234568478609262,0.0075470169588042,0.0458247519460934,0.0016113643204679,0.167220157080644,0.203610976196948,0.325159462932386,0.0400050607216135,0.0895953507259359,0.151007242341042,0.108342390257953,0.052480391689432,0.0403929267946303,0.0325709197470073,0.0364693891474437,0.662753398792828,0.17317769520675,0.156201478659268,0.159500544411027,0.308302555966076,0.188025615813747,0.15943858939956,0.147542676207138,0.0663666988379544,0.079191219,0.0068460964935318,0.0223466449467412,0.0395185640883844,0.147534258687513,0.0665127607337902,0.137731498669955,0.342006915099317,0.11013457068535,Deep
252.0,0.048024458190487,0.317339173772618,0.193328592415801,0.200785778567403,0.116693403711147,0.595814346016425,0.108620468620435,0.138498667042697,0.0779675362250886,0.0490326077952742,0.12842285820238,0.0658077633648877,0.0549676132488895,0.0646486703332176,0.091384109573945,0.123670119189071,0.0715028547969225,0.198032163182881,0.49436898088297,0.194210865729056,0.207345552310014,,0.0520365993099413,0.152966438758727,0.0501953937589294,0.0374059407780283,,0.0945823575190447,0.164565529993812,0.11873764780361,0.14199145253156,0.0556591170340906,0.0471742626383658,0.0220237422592825,0.010657724490204,0.0436315925197256,0.0008805406971649,0.172366543803938,0.193831697955602,0.308068041047302,0.0386114244413766,0.0924231088431601,0.149257870152404,0.10652854878741,0.0484678802454711,0.0446136139763308,0.0331282368499591,0.0350152266412874,0.667208580727813,0.165315872979613,0.150997047520076,0.153248246028918,0.260534362860603,0.183434194107414,0.154059209334035,0.13258002974514,0.0630223513068006,0.079753008,0.0094098026237853,0.0208244723482646,0.0390303232480281,0.153883802927866,0.0613963516742601,0.142259263905893,0.346195752529791,0.112176054146328,Deep
253.0,0.0440610556666334,0.321137827359883,0.209354824192955,0.193380812420001,0.133807504808346,0.585468554895932,0.113632714575272,0.145411943750048,0.0780306032351253,0.0521928849872212,0.154070785527325,0.0741762903266422,0.0466990911484662,0.0701281370748349,0.104487877754849,0.127806197461096,0.0688766647174849,0.211577079783428,0.505497399956415,0.194753218343835,0.204927859744096,,0.0470564562355435,0.158816472250509,0.0359114422296691,0.0397661833265725,,0.0989520627037152,0.157705114318976,0.10734740783875,0.131494276757587,0.0513543561860745,0.0514334769697205,0.0241104573670977,0.0142816106057323,0.0385539179798436,0.0012515777189051,0.163905585664528,0.200290380562511,0.28555103893824,0.0544464235873358,0.0951952440734093,0.139257722436957,0.0988518178263977,0.0477752350449399,0.0453452544624595,0.0324862470713434,0.0381258017719658,0.694673245011949,0.170259722865447,0.151608795695491,0.146257178942568,0.222617079839341,0.176215644831652,0.149476095805695,0.113942271091069,0.057859277177772,0.079892627,0.0108715260628508,0.0229981890561828,0.0449019431189923,0.162547628115448,0.0599294907982511,0.155817335792935,0.341561417420888,0.109271963988833,Deep
254.0,0.0438504336389095,0.325005263973576,0.210687347453507,0.189675650185118,0.155446399753441,0.570877848715959,0.116687150570862,0.152642465282319,0.0786436164545176,0.055536635454251,0.175407438641351,0.0789010425992157,0.0383039114416834,0.0742395968417521,0.112813556212789,0.138567133705099,0.0699526585825086,0.227047347032135,0.511451651012386,0.195305743569987,0.204285365100346,,0.0477972387596739,0.165481925637326,0.0327495057083905,0.0433664640242541,,0.107682765030558,0.152209017863735,0.101378011865905,0.119633187528294,0.0572628793468661,0.0541020290153901,0.0253247978506826,0.0150353167273146,0.0313918572193747,0.0026667307759829,0.128495338417733,0.206779952743005,0.273776930370818,0.070095853849144,0.0976324453296139,0.129706774521174,0.0895441532163481,0.050480428630654,0.0466082889145891,0.034633175352626,0.0433247518706929,0.724237682133906,0.183999160094724,0.154922332148101,0.141939277378154,0.189222071375634,0.16924678516709,0.146113822033722,0.093161624053378,0.0527519821771342,0.079825669,0.0102847991721496,0.0238730196584082,0.0505493203772463,0.159832426099627,0.0618889216121519,0.162863467546773,0.332372606564549,0.106721448843975,Deep
255.0,0.0442311555191699,0.32814727211564,0.207379329531962,0.186728417878038,0.177581795191559,0.556056043925791,0.119162072883009,0.160596211230726,0.0821945444365422,0.0591089799399648,0.190327723388567,0.0745704472695777,0.0306758912866133,0.0766418383809076,0.120336982800193,0.159210720040671,0.0743423970654228,0.236580523030987,0.512177709205134,0.195858877570617,0.203952189507574,,0.0532670640738917,0.172787074240146,0.033451586463897,0.0494363510216832,,0.119978360725198,0.145892727962908,0.100428121460809,0.109504858714748,0.0653864491121688,0.0551034003871425,0.0270491286022197,0.0136103430761391,0.0196715856690875,0.0053019456070216,0.0950243320571293,0.224235052105412,0.265586996164447,0.0810339058771994,0.0986590500468439,0.122202542891663,0.082622040222926,0.0523224676771662,0.0495501343021852,0.0390836874950476,0.0442174115025466,0.757033762628192,0.204257205372608,0.157942183290947,0.140055398717726,0.168736471026927,0.164679614041474,0.143317324410906,0.0843933196294464,0.0486916533995402,0.079491696,0.009669765883099,0.0222852230914983,0.0567030386498678,0.138473444517814,0.0634744515224243,0.167762041155197,0.319461552095946,0.10516911444861,Deep
256.0,0.045025867814173,0.331741449128313,0.196207216951734,0.186521910846226,0.189162444055168,0.540767020786137,0.124156731182742,0.170375461333646,0.0874568723949395,0.0630752342938471,0.200981949188751,0.0683547065100206,0.0222429544472437,0.0786049423408811,0.124315201999026,0.183090624961277,0.0790342895872681,0.244576149378871,0.509580783392952,0.196403025338088,0.203195429613433,,0.060441708587573,0.180561868012018,0.051209244606552,0.0564026488433023,,0.126480937233658,0.141703718357618,0.104998000888706,0.0973632959200043,0.0663535036786454,0.0550991693269727,0.02803412877725,0.0125714215727406,0.0163030663512095,0.0105212938978481,0.068059798421368,0.232206765095572,0.270353918614581,0.0919085080632522,0.0992102830761568,0.115805245740188,0.0744218737527438,0.0530510219468044,0.0523695247932722,0.0470438261942896,0.0435351106118837,0.790628983401893,0.23284426120735,0.164156560596612,0.140303891889369,0.162160411232439,0.160245686575263,0.13992688643333,0.0813262126960047,0.0453208569007311,0.078830272,0.0078619642622214,0.0202567979030408,0.0626511742941688,0.116302834709161,0.0650632434069372,0.169727708493027,0.299949295565853,0.10391539670996,Deep
257.0,0.0466432802804127,0.33685114463786,0.172220673180592,0.188751472992272,0.196100893699829,0.52502810423122,0.129451301573149,0.177909234286323,0.0912802134809848,0.0648825397427965,0.189247412522664,0.0643288119453013,0.019856067170266,0.0780382616208144,0.117760877644394,0.209371025632164,0.0861184474175813,0.247344263902545,0.500562739140496,0.196877713613171,0.202854577495313,,0.0717942980868476,0.1882778359913,0.0874601460576571,0.0634461370380266,,0.128348739988149,0.139682484711821,0.116608297167112,0.096008229896142,0.0670010348346731,0.0508565227881038,0.0284499191267665,0.0113086061256314,0.020577054141785,0.0158009686132106,0.0434200598935753,0.236806349088517,0.305632747017108,0.0893641787060487,0.0987331863766824,0.11348881449723,0.0694018073271201,0.0542289717410113,0.0550759100403991,0.0669798011418382,0.0411580708403379,0.802419363886152,0.251063946678575,0.167064364573686,0.146356155978388,0.155761724244937,0.166454094430786,0.136838745502626,0.0778908020800795,0.0437937418757389,0.076845784,0.0058826210757389,0.0166699503203165,0.0662469015510931,0.0927592926342235,0.0670152117240213,0.165310097631196,0.284392491311097,0.105350215674503,Deep
258.0,0.0485771001115152,0.34244220312387,0.164520582542111,0.191945666899394,0.198177962120668,0.509432693468807,0.127733283203625,0.180647880988235,0.0967514918996852,0.0644948501656324,0.165541518402496,0.0604475529070965,0.0217198496873861,0.0751494446061822,0.107729910931417,0.23821280350331,0.0920383454690381,0.24158593098169,0.487374573955521,0.196899786038619,0.200468520130124,,0.0839943460589644,0.195200417614689,0.121371741219455,0.0707737210644192,,0.129799455902188,0.137766724203493,0.128621895252729,0.105103546307285,0.0676753091592499,0.0443264269125085,0.0281622296763232,0.0098662942168598,0.0228358249245998,0.0191021126661415,0.0313990812683627,0.234377143746941,0.349427323580601,0.0786029740535999,0.0947651125639431,0.114629175449217,0.0679159718728663,0.0559677349702238,0.057737616542845,0.0891141641480843,0.0349480228403078,0.804314128710991,0.270114428465809,0.165322254585907,0.153971464012463,0.152050628241958,0.183169913213233,0.135128654389873,0.0768048342977701,0.0428804854424732,0.073129654,0.0096390150221732,0.0115146991664202,0.0686566050971572,0.0697153201176619,0.0667493381689784,0.161089619383277,0.27141079035095,0.108095573820551,Deep
259.0,0.0510915506951804,0.349097893172889,0.173114348448787,0.196944947040593,0.190440524367409,0.49339181408027,0.122254171111511,0.184837902226757,0.100231010568398,0.0648426589545951,0.141966312856202,0.0562608128656558,0.0222243867290438,0.0778551509073132,0.101959701088852,0.267805968530688,0.0938540430758338,0.23500173086885,0.477197997112161,0.196528962021783,0.193823206625349,,0.0925665527384528,0.202278944869587,0.161564346176121,0.0759760407985173,,0.128196399038737,0.136204705376313,0.145072880942702,0.112223055513936,0.0675347686155278,0.0426687025358896,0.0257495689787302,0.0087866310622432,0.0212447554296298,0.0222787463739511,0.0267920520920967,0.21437408902477,0.385607073901282,0.0683067900665237,0.0896948623602956,0.118945195289949,0.0682270839275755,0.0582398396261885,0.0582809930591964,0.0962150420463111,0.0309589468281398,0.797914936191823,0.278930246085314,0.162323036036672,0.156454618101142,0.149802254443405,0.1999022538136,0.134080327973898,0.0769385593868246,0.0442014046097486,0.068762372,0.0171148347423741,0.0076120506137972,0.0699574644047643,0.0619125436837743,0.0658312009843998,0.162078129139131,0.255483336417568,0.111507220173456,Deep
260.0,0.0544388537135766,0.357169792920623,0.181749388612224,0.202202926917024,0.187198225487234,0.479924476096118,0.12128020347656,0.192424161685571,0.0972038123397197,0.0667083517199125,0.101186098474071,0.0495290421755662,0.0224106786993763,0.0846998961229651,0.0956779172331631,0.303805441326081,0.0946165348627901,0.23047127555314,0.466208329752761,0.195947257516475,0.188692901756109,,0.100953283232378,0.210567300617862,0.199787708809692,0.08075445376093,,0.126622738759643,0.134740125744985,0.159551597530954,0.116455463021351,0.0729047805601093,0.043997973803476,0.0218074588259617,0.0076036853855448,0.0186328184070365,0.0227990915481931,0.0259021902729583,0.188636627651413,0.42730529799021,0.0487975210524645,0.0845847821820378,0.129799491940643,0.0712155151488791,0.0621472019030616,0.0575723845683506,0.0972089229573651,0.0319328293933212,0.779688553407523,0.272976854045246,0.157207890025296,0.157904667150821,0.15220174396456,0.220809582644774,0.134363556349339,0.0782734304030325,0.0479102046820328,0.064837181,0.0235566134148879,0.0031866814494102,0.0699476743700917,0.0601927752747583,0.0674627926062068,0.164468091315104,0.230865893466383,0.117428138063635,Deep
261.0,0.0584471660133984,0.360058027237607,0.192519680882003,0.206825874112888,0.184109540737603,0.468543791917522,0.12320926724561,0.200559461787969,0.0921698145954209,0.0682139529702754,0.0711506264796369,0.0457358689443007,0.0232097885801736,0.0944015647212862,0.0941385503543766,0.331063574007674,0.0947920368687853,0.225557261213851,0.457407674782135,0.195332973134078,0.187211131428405,,0.111666880319298,0.221142901043143,0.221130206936876,0.0840857630887032,,0.131548587245822,0.132416877053194,0.169102454585281,0.119938453683197,0.0888360194027694,0.0453092195653336,0.0165645545147372,0.0047658159734601,0.012383121622979,0.0198523494347528,0.0331182128636132,0.166734909563667,0.447742289204196,0.0337312690912603,0.0775486257784976,0.140115536341031,0.0764673479321965,0.0681894264552988,0.0558500067278435,0.0939881437503053,0.0336785703903239,0.755769921432439,0.267746525457538,0.149604143350397,0.156144424351469,0.156363101183028,0.241578871492844,0.136449346260502,0.0799070432773605,0.054688515115739,0.062178429,0.0320919025931252,0.0009524338973056,0.0702926475257678,0.0577448506656073,0.0684602547301947,0.170187723668372,0.208771979398483,0.121293814690224,Deep
