location,date,depth_group,value_temp,measurement_count_temp,value_dissolved_oxygen,measurement_count_dissolved_oxygen
SA,2015-10-06,Surface,23.903,10,7.973000000000001,10
SA,2015-10-06,Mid-Depth,23.627,10,7.608,10
SA,2015-10-06,Lower Photic,23.235000000000003,10,5.99,10
SA,2015-10-06,Deep,21.183636363636364,22,2.3795454545454544,22
SA,2015-11-11,Surface,23.53,10,7.259,10
SA,2015-11-11,Mid-Depth,23.5,10,6.906000000000001,10
SA,2015-11-11,Lower Photic,23.41,10,6.0920000000000005,10
SA,2015-11-11,Deep,21.748565435402423,22,2.7603388556645028,22
SA,2016-01-19,Surface,21.549,10,7.324000000000001,10
SA,2016-01-19,Mid-Depth,21.534,10,7.286,10
SA,2016-01-19,Lower Photic,21.51,10,7.079000000000001,10
SA,2016-01-19,Deep,21.36431818181818,22,5.8981818181818175,22
SA,2016-02-16,Surface,20.9,10,6.662999999999999,10
SA,2016-02-16,Mid-Depth,20.811,10,6.82,10
SA,2016-02-16,Lower Photic,20.686,10,6.856999999999999,10
SA,2016-02-16,Deep,20.638484848484847,22,7.017348484848484,22
SA,2016-03-01,Surface,21.147,10,8.027,10
SA,2016-03-01,Mid-Depth,20.798,10,7.239,10
SA,2016-03-01,Lower Photic,20.732,10,6.491,10
SA,2016-03-01,Deep,20.64598484848485,22,6.369545454545456,22
SA,2016-04-12,Surface,22.469,10,8.031,10
SA,2016-04-12,Mid-Depth,22.258000000000003,10,7.926999999999998,10
SA,2016-04-12,Lower Photic,21.311,10,6.105,10
SA,2016-04-12,Deep,20.72515151515152,22,4.406742424242424,22
SA,2016-05-17,Surface,23.731,10,7.8809999999999985,10
SA,2016-05-17,Mid-Depth,23.499,10,7.712999999999999,10
SA,2016-05-17,Lower Photic,21.894,10,5.159,10
SA,2016-05-17,Deep,20.83318181818182,22,3.300303030303031,22
SA,2016-06-14,Surface,23.969,10,7.832000000000001,10
SA,2016-06-14,Mid-Depth,23.884000000000004,10,7.786000000000001,10
SA,2016-06-14,Lower Photic,23.028,10,6.125,10
SA,2016-06-14,Deep,20.852954545454548,22,2.6539393939393943,22
SA,2016-07-12,Surface,23.888,10,7.536,10
SA,2016-07-12,Mid-Depth,23.694,10,7.499,10
SA,2016-07-12,Lower Photic,22.484,10,6.034000000000001,10
SA,2016-07-12,Deep,20.864469696969703,22,2.79939393939394,22
SA,2016-08-09,Surface,23.555,10,7.849000000000001,10
SA,2016-08-09,Mid-Depth,23.322,10,7.824,10
SA,2016-08-09,Lower Photic,23.053000000000004,10,7.100999999999999,10
SA,2016-08-09,Deep,21.07159090909091,22,3.031515151515152,22
SA,2016-09-06,Surface,23.697,10,7.577,10
SA,2016-09-06,Mid-Depth,23.622,10,7.501,10
SA,2016-09-06,Lower Photic,23.374,10,6.906000000000001,10
SA,2016-09-06,Deep,21.13462121212121,22,2.3403787878787883,22
SA,2016-10-11,Surface,23.465,10,7.354999999999999,10
SA,2016-10-11,Mid-Depth,23.409,10,7.319,10
SA,2016-10-11,Lower Photic,23.364,10,7.117,10
SA,2016-10-11,Deep,21.35894400464632,22,2.592860512202623,22
SA,2016-11-08,Surface,22.714,10,7.607000000000001,10
SA,2016-11-08,Mid-Depth,22.659,10,7.51,10
SA,2016-11-08,Lower Photic,22.597,10,7.162000000000001,10
SA,2016-11-08,Deep,21.37280303030303,22,3.709015151515152,22
SA,2016-12-05,Surface,21.665000000000003,10,7.794,10
SA,2016-12-05,Mid-Depth,21.624,10,7.624,10
SA,2016-12-05,Lower Photic,21.546,10,7.042,10
SA,2016-12-05,Deep,21.409469696969698,22,6.141666666666668,22
SA,2017-02-07,Surface,20.512,10,6.282,10
SA,2017-02-07,Mid-Depth,20.504,10,6.289,10
SA,2017-02-07,Lower Photic,20.463,10,6.161999999999999,10
SA,2017-02-07,Deep,20.359015151515152,22,6.657954545454545,22
SA,2017-03-13,Surface,20.99,10,7.699,10
SA,2017-03-13,Mid-Depth,20.618,10,7.011,10
SA,2017-03-13,Lower Photic,20.538,10,6.535000000000001,10
SA,2017-03-13,Deep,20.448181818181816,22,5.132651515151514,22
SA,2017-04-18,Surface,21.621,10,7.9,10
SA,2017-04-18,Mid-Depth,21.455,10,7.802000000000001,10
SA,2017-04-18,Lower Photic,21.263,10,7.253,10
SA,2017-04-18,Deep,20.57977272727273,22,4.93189393939394,22
SA,2017-05-16,Surface,22.95,10,7.943,10
SA,2017-05-16,Mid-Depth,22.441,10,7.467,10
SA,2017-05-16,Lower Photic,21.528,10,6.654000000000001,10
SA,2017-05-16,Deep,20.648030303030303,22,3.893787878787879,22
SA,2017-06-13,Surface,23.515,10,8.169,10
SA,2017-06-13,Mid-Depth,23.335,10,7.837000000000001,10
SA,2017-06-13,Lower Photic,22.251,10,5.957,10
SA,2017-06-13,Deep,20.717575757575755,22,3.3401515151515144,22
SA,2017-07-11,Surface,23.498,10,8.393,10
SA,2017-07-11,Mid-Depth,23.262,10,8.248000000000001,10
SA,2017-07-11,Lower Photic,22.642000000000003,10,6.863,10
SA,2017-07-11,Deep,20.85636363636364,22,3.501969696969698,22
SA,2017-08-08,Surface,23.689000000000004,10,8.045999999999998,10
SA,2017-08-08,Mid-Depth,23.432,10,7.901000000000001,10
SA,2017-08-08,Lower Photic,22.146,10,5.420999999999999,10
SA,2017-08-08,Deep,20.7614393939394,22,2.9421969696969694,22
SA,2017-09-12,Surface,23.688,10,7.270999999999999,10
SA,2017-09-12,Mid-Depth,23.575,10,7.108,10
SA,2017-09-12,Lower Photic,22.954,10,5.504,10
SA,2017-09-12,Deep,20.93454545454546,22,1.531439393939394,22
SA,2017-10-12,Surface,23.228,10,5.930000000000001,10
SA,2017-10-12,Mid-Depth,23.182,10,5.885,10
SA,2017-10-12,Lower Photic,23.004,10,5.537999999999999,10
SA,2017-10-12,Deep,21.053030303030305,22,1.4798484848484852,22
SA,2017-11-07,Surface,22.895,10,7.529000000000001,10
SA,2017-11-07,Mid-Depth,22.808,10,7.305,10
SA,2017-11-07,Lower Photic,22.695,10,6.441,10
SA,2017-11-07,Deep,21.20151515151516,22,2.138484848484848,22
SA,2017-12-13,Surface,22.63241002344351,10,3.883,10
SA,2017-12-13,Mid-Depth,22.442656658235443,10,3.796,10
SA,2017-12-13,Lower Photic,21.971324115781748,10,3.705000000000001,10
SA,2017-12-13,Deep,20.908685248937186,22,3.650227272727273,22
SA,2018-01-11,Surface,20.5202380383076,10,6.560410735436544,10
SA,2018-01-11,Mid-Depth,20.436552796366065,10,6.320161994352588,10
SA,2018-01-11,Lower Photic,20.332573311857,10,6.242815082827719,10
SA,2018-01-11,Deep,20.29292117647401,22,6.1620758662859485,22
SA,2018-02-07,Surface,20.33826735312335,10,5.263232190617337,10
SA,2018-02-07,Mid-Depth,20.256593756312583,10,4.775561536605177,10
SA,2018-02-07,Lower Photic,20.191629611233147,10,5.174517277278414,10
SA,2018-02-07,Deep,20.1158127404174,22,5.025477598355542,22
SA,2018-03-13,Surface,20.690840305194644,10,6.615650826413787,10
SA,2018-03-13,Mid-Depth,20.46092734295344,10,5.887541883086101,10
SA,2018-03-13,Lower Photic,20.34979156229295,10,5.284195420680818,10
SA,2018-03-13,Deep,20.27849406022767,22,3.624359462475398,22
SA,2018-04-10,Surface,21.511399298186973,10,6.94987953362254,10
SA,2018-04-10,Mid-Depth,21.22498172447224,10,6.239647611958683,10
SA,2018-04-10,Lower Photic,20.939183357766613,10,5.431252556990252,10
SA,2018-04-10,Deep,20.39089836215005,22,2.7105738590463666,22
SA,2018-05-15,Surface,22.710955471453925,10,7.315734074903753,10
SA,2018-05-15,Mid-Depth,22.184185827617448,10,6.195670989729013,10
SA,2018-05-15,Lower Photic,21.24861990815593,10,4.263555409425228,10
SA,2018-05-15,Deep,20.478883309169262,22,1.6753320028319174,22
SA,2018-06-12,Surface,23.26055297076557,10,7.080478981907223,10
SA,2018-06-12,Mid-Depth,23.17331601919259,10,6.880760385833669,10
SA,2018-06-12,Lower Photic,21.71986499259691,10,4.491299094397064,10
SA,2018-06-12,Deep,20.56912464818173,22,2.058347708849234,22
SA,2018-07-17,Surface,22.59701799,10,6.969427111,10
SA,2018-07-17,Mid-Depth,22.58838491,10,6.925100509000001,10
SA,2018-07-17,Lower Photic,22.439195179999995,10,6.802457135999999,10
SA,2018-07-17,Deep,20.7074876742559,22,2.360056605649941,22
SA,2018-08-14,Surface,23.27504728986564,10,7.063523944849656,10
SA,2018-08-14,Mid-Depth,23.022039496632893,10,6.611197963232501,10
SA,2018-08-14,Lower Photic,22.45664567510169,10,5.685541475903995,10
SA,2018-08-14,Deep,20.895598871292023,22,2.551204573746643,22
SA,2018-09-11,Surface,23.56241387824533,10,7.156022970970686,10
SA,2018-09-11,Mid-Depth,23.24280565034285,10,6.334349201449102,10
SA,2018-09-11,Lower Photic,22.50914837250721,10,4.89176710177402,10
SA,2018-09-11,Deep,20.79615820121716,22,1.7197900180424506,22
SA,2018-09-24,Surface,23.65690985695093,10,7.769823533711144,10
SA,2018-09-24,Mid-Depth,23.45309175460323,10,6.937945155122276,10
SA,2018-09-24,Lower Photic,22.82425325018124,10,5.233336013285579,10
SA,2018-09-24,Deep,20.886285770818407,22,1.2112746300466546,22
SA,2018-11-14,Surface,22.6598544066547,10,6.845965564599332,10
SA,2018-11-14,Mid-Depth,22.65445147699692,10,6.727807333616876,10
SA,2018-11-14,Lower Photic,22.571739745858384,10,6.290873050595509,10
SA,2018-11-14,Deep,21.100684129810304,22,1.8963316695012609,22
SA,2018-12-12,Surface,21.487154458427337,10,6.255746615238785,10
SA,2018-12-12,Mid-Depth,21.45700746456115,10,6.1643292209146106,10
SA,2018-12-12,Lower Photic,21.449602824713885,10,6.120936296475659,10
SA,2018-12-12,Deep,21.34848891258049,22,5.567159377917666,22
SA,2019-02-12,Surface,20.702490192694547,10,7.63,10
SA,2019-02-12,Mid-Depth,20.60797782834327,10,7.138,10
SA,2019-02-12,Lower Photic,20.558585812170616,10,6.922,10
SA,2019-02-12,Deep,20.496594781807104,22,8.983306446167711,22
SA,2019-03-12,Surface,21.21877371856285,10,7.487999999999999,10
SA,2019-03-12,Mid-Depth,21.02425102986736,10,6.897,10
SA,2019-03-12,Lower Photic,20.88785264887316,10,6.354,10
SA,2019-03-12,Deep,20.6101112283476,22,4.036377603078117,22
SA,2019-04-09,Surface,21.52861237700457,10,7.605000000000001,10
SA,2019-04-09,Mid-Depth,21.24029360043394,10,6.635,10
SA,2019-04-09,Lower Photic,21.068945156218007,10,6.224000000000001,10
SA,2019-04-09,Deep,20.781646093611258,22,4.701368404838752,22
SA,2019-05-14,Surface,23.30046823987769,10,7.41094767514623,10
SA,2019-05-14,Mid-Depth,22.664766642694683,10,6.7725729874141525,10
SA,2019-05-14,Lower Photic,21.61179392160413,10,4.9627518130873405,10
SA,2019-05-14,Deep,20.81963741835721,22,2.371295064893292,22
SA,2019-06-12,Surface,23.624793725729923,10,7.246239338688132,10
SA,2019-06-12,Mid-Depth,23.18571659052753,10,6.835452654296984,10
SA,2019-06-12,Lower Photic,21.59846992422645,10,4.002184310261304,10
SA,2019-06-12,Deep,20.911966944415376,22,2.13990787629888,22
SA,2019-07-12,Surface,23.44526641339656,10,6.945812312389551,10
SA,2019-07-12,Mid-Depth,23.41489277023116,10,6.859319908902317,10
SA,2019-07-12,Lower Photic,22.07190712065769,10,4.646375202254686,10
SA,2019-07-12,Deep,20.83351881493023,22,1.9904428174906847,22
SA,2019-08-13,Surface,23.85895613334602,10,7.182337049303806,10
SA,2019-08-13,Mid-Depth,23.696775076208013,10,6.905210936323508,10
SA,2019-08-13,Lower Photic,22.92072659253109,10,5.397278236007285,10
SA,2019-08-13,Deep,20.941336049420617,22,1.7738307127940554,22
SA,2019-09-10,Surface,23.77249476160109,10,7.233249345056417,10
SA,2019-09-10,Mid-Depth,23.66507000815718,10,6.930656289846061,10
SA,2019-09-10,Lower Photic,22.94854041810324,10,5.374286236990499,10
SA,2019-09-10,Deep,20.98607116600324,22,1.748197136041552,22
SA,2020-02-11,Surface,21.33902148354723,10,7.648947032904277,10
SA,2020-02-11,Mid-Depth,21.15303414762065,10,7.243582805343033,10
SA,2020-02-11,Lower Photic,20.98359721532198,10,6.515730928877645,10
SA,2020-02-11,Deep,20.861395591701694,22,5.227318578592189,22
SA,2020-05-12,Surface,23.53035793049672,10,7.42008373623676,10
SA,2020-05-12,Mid-Depth,23.28963210304729,10,7.030788551707028,10
SA,2020-05-12,Lower Photic,21.946302393916163,10,5.138995151856991,10
SA,2020-05-12,Deep,20.9243775319908,22,3.3721591677580607,22
SA,2020-06-09,Surface,23.28527303818646,10,7.4200472052231135,10
SA,2020-06-09,Mid-Depth,22.92885147960438,10,6.8196960100146695,10
SA,2020-06-09,Lower Photic,22.069566129616632,10,5.150150929157892,10
SA,2020-06-09,Deep,20.96450511988979,22,2.996893227267266,22
SA,2020-07-14,Surface,23.73168301290067,10,7.464983796464331,10
SA,2020-07-14,Mid-Depth,23.55061825773791,10,7.020546455225366,10
SA,2020-07-14,Lower Photic,22.4497737157579,10,4.866110641790605,10
SA,2020-07-14,Deep,21.020885273841063,22,2.424898757822214,22
SA,2020-08-11,Surface,24.002584446308955,10,6.979406404668831,10
SA,2020-08-11,Mid-Depth,23.982929243013803,10,6.951488781205347,10
SA,2020-08-11,Lower Photic,22.59068701149853,10,4.685954587317112,10
SA,2020-08-11,Deep,20.992283404305155,22,2.304435770976691,22
SA,2020-09-08,Surface,23.567815874440647,10,7.003987218467924,10
SA,2020-09-08,Mid-Depth,23.49386867580756,10,6.729294824818206,10
SA,2020-09-08,Lower Photic,22.73356598934182,10,4.9112520114429,10
SA,2020-09-08,Deep,21.07127958435399,22,1.3311839010550244,22
SA,2020-10-13,Surface,23.68452260164621,10,7.022828492790953,10
SA,2020-10-13,Mid-Depth,23.57620104138033,10,6.758213405651953,10
SA,2020-10-13,Lower Photic,23.26372722012307,10,6.003245485480207,10
SA,2020-10-13,Deep,21.11999166335087,22,1.2665331756423357,22
SA,2020-11-10,Surface,22.68513224743012,10,7.389346680560726,10
SA,2020-11-10,Mid-Depth,22.63383639794833,10,6.717517412978936,10
SA,2020-11-10,Lower Photic,22.55730522005738,10,6.233899570380081,10
SA,2020-11-10,Deep,21.27074877578288,22,2.4218074331402053,22
SA,2020-12-08,Surface,21.89535406059401,10,6.663434939676565,10
SA,2020-12-08,Mid-Depth,21.88242209780194,10,6.577204972339514,10
SA,2020-12-08,Lower Photic,21.87396259143295,10,6.503495929640147,10
SA,2020-12-08,Deep,21.501875063508702,22,4.718539838855485,22
SA,2021-01-19,Surface,21.318093289451973,10,7.066336862612916,10
SA,2021-01-19,Mid-Depth,21.26967256850358,10,6.914628335874473,10
SA,2021-01-19,Lower Photic,21.202129083092068,10,6.608311222704297,10
SA,2021-01-19,Deep,21.099721950993366,22,6.2642641502453165,22
SA,2021-02-16,Surface,21.04430226843254,10,7.026148467431762,10
SA,2021-02-16,Mid-Depth,20.87808176675496,10,6.340759223347343,10
SA,2021-02-16,Lower Photic,20.76622462600214,10,6.058604069218902,10
SA,2021-02-16,Deep,20.65961150723865,22,5.421579280125022,22
SA,2021-03-16,Surface,21.21687267998319,10,7.037071882183331,10
SA,2021-03-16,Mid-Depth,20.99446653770507,10,6.4186158881442354,10
SA,2021-03-16,Lower Photic,20.938718685518783,10,6.136505397276963,10
SA,2021-03-16,Deep,20.831462046159047,22,5.155366965508839,22
SA,2021-04-13,Surface,21.49837767428468,10,7.409080996274639,10
SA,2021-04-13,Mid-Depth,21.12307115703946,10,6.649171833220803,10
SA,2021-04-13,Lower Photic,21.04343107862851,10,6.282484180024536,10
SA,2021-04-13,Deep,20.91615465896217,22,5.158419478548257,22
SA,2021-05-11,Surface,22.71575840948448,10,7.417648661183529,10
SA,2021-05-11,Mid-Depth,22.17472233805529,10,6.8981260387514265,10
SA,2021-05-11,Lower Photic,21.2261641363141,10,5.242440238605156,10
SA,2021-05-11,Deep,20.93310838098945,22,4.516082254801979,22
SA,2021-06-08,Surface,23.97214504348512,10,7.473341919395383,10
SA,2021-06-08,Mid-Depth,23.21454280506806,10,6.643858660921507,10
SA,2021-06-08,Lower Photic,21.635146854114293,10,4.871564203024917,10
SA,2021-06-08,Deep,20.98233890788356,22,3.6988415861505946,22
SA,2021-07-13,Surface,23.637088826781,10,7.366769850491487,10
SA,2021-07-13,Mid-Depth,23.581186706274742,10,7.26781289562161,10
SA,2021-07-13,Lower Photic,21.77977259339487,10,4.731810765756382,10
SA,2021-07-13,Deep,20.986901956747715,22,3.224943007324073,22
SA,2021-08-10,Surface,23.4723743180766,10,7.397959563881547,10
SA,2021-08-10,Mid-Depth,23.394414329983217,10,7.219267880211079,10
SA,2021-08-10,Lower Photic,22.63520186573403,10,5.776673471054756,10
SA,2021-08-10,Deep,21.06558508094619,22,2.9804810481810544,22
SA,2021-09-07,Surface,23.64865212461325,10,7.39953755783893,10
SA,2021-09-07,Mid-Depth,23.43973852220048,10,6.98071169073976,10
SA,2021-09-07,Lower Photic,22.79920547149565,10,5.491963716927402,10
SA,2021-09-07,Deep,21.09516175265877,22,2.554726284313802,22
SA,2021-10-12,Surface,23.91843202366131,10,7.477838734081319,10
SA,2021-10-12,Mid-Depth,23.668386636279827,10,6.731880449009267,10
SA,2021-10-12,Lower Photic,22.88367298621655,10,5.086237004888838,10
SA,2021-10-12,Deep,21.171577356621206,22,2.0086435714718567,22
SA,2021-11-09,Surface,23.21460974665881,10,6.992147713177356,10
SA,2021-11-09,Mid-Depth,23.14459473654102,10,6.819820424785695,10
SA,2021-11-09,Lower Photic,23.11274069543379,10,6.56563934618063,10
SA,2021-11-09,Deep,21.287797147488224,22,2.175244296653012,22
SA,2021-12-07,Surface,21.73407955308554,10,7.093130618294079,10
SA,2021-12-07,Mid-Depth,21.61226953339574,10,6.820217239276522,10
SA,2021-12-07,Lower Photic,21.513934535556366,10,6.344713050892549,10
SA,2021-12-07,Deep,21.414312478631164,22,6.07718680764306,22
SA,2022-01-18,Surface,20.979447418688785,10,6.764687170344553,10
SA,2022-01-18,Mid-Depth,20.9261216310288,10,6.604742297486278,10
SA,2022-01-18,Lower Photic,20.82401081396794,10,6.249096877853509,10
SA,2022-01-18,Deep,20.752829789988457,22,5.883061920984509,22
SA,2022-02-08,Surface,20.89531004891047,10,6.942781885177878,10
SA,2022-02-08,Mid-Depth,20.81919509627165,10,6.64776085419341,10
SA,2022-02-08,Lower Photic,20.7386000697548,10,6.372147057911205,10
SA,2022-02-08,Deep,20.6892353408594,22,6.3158806110530925,22
SA,2022-03-08,Surface,20.79481648245192,10,7.546786116148387,10
SA,2022-03-08,Mid-Depth,20.62708532308785,10,6.732644118035337,10
SA,2022-03-08,Lower Photic,20.56657232825661,10,6.36797529646119,10
SA,2022-03-08,Deep,20.484888386366865,22,6.251899915390921,22
SA,2022-04-05,Surface,22.04143080555235,10,7.589467174910761,10
SA,2022-04-05,Mid-Depth,21.45218521634355,10,6.902209286162797,10
SA,2022-04-05,Lower Photic,21.12027963243515,10,5.911869194747479,10
SA,2022-04-05,Deep,20.789974039058368,22,4.725606697128234,22
SA,2022-05-10,Surface,23.60113244295531,10,7.926953991101852,10
SA,2022-05-10,Mid-Depth,22.990012113870712,10,7.459754439966706,10
SA,2022-05-10,Lower Photic,21.91127491570488,10,5.596262124239599,10
SA,2022-05-10,Deep,20.899117134833773,22,3.865950472175633,22
SA,2022-06-14,Surface,23.1490580841854,10,7.34256627063713,10
SA,2022-06-14,Mid-Depth,22.89423499131033,10,7.173493454981623,10
SA,2022-06-14,Lower Photic,21.93445781238029,10,5.322572177901788,10
SA,2022-06-14,Deep,20.880725246295256,22,3.2802743754507047,22
SA,2022-07-12,Surface,23.14589007774057,10,7.412561997881651,10
SA,2022-07-12,Mid-Depth,22.96731487492772,10,7.031974663445746,10
SA,2022-07-12,Lower Photic,22.409516453136284,10,5.8314303796369975,10
SA,2022-07-12,Deep,20.94544761634553,22,3.340157214465933,22
SA,2022-08-09,Surface,23.15486612914331,10,7.091904845258664,10
SA,2022-08-09,Mid-Depth,23.13345573819465,10,6.980453595553014,10
SA,2022-08-09,Lower Photic,22.89073174473745,10,6.521050695277928,10
SA,2022-08-09,Deep,20.96581485429999,22,2.7861259618171483,22
SA,2022-09-06,Surface,23.603896433486472,10,7.589672919998956,10
SA,2022-09-06,Mid-Depth,23.36575426807469,10,6.92949539092602,10
SA,2022-09-06,Lower Photic,22.87928640486259,10,5.591720864450577,10
SA,2022-09-06,Deep,21.090495369490505,22,2.225875877088453,22
SA,2022-10-18,Surface,22.987001608477613,10,7.282552036428839,10
SA,2022-10-18,Mid-Depth,22.85825357348567,10,6.707720654825296,10
SA,2022-10-18,Lower Photic,22.73009417710439,10,6.156961293095253,10
SA,2022-10-18,Deep,21.15101931072091,22,1.9839446313430635,22
SA,2022-11-08,Surface,23.029686201586152,10,7.074862200613351,10
SA,2022-11-08,Mid-Depth,22.919283037309192,10,6.478442007722579,10
SA,2022-11-08,Lower Photic,22.7356576244023,10,5.52424120370511,10
SA,2022-11-08,Deep,21.25323473593189,22,1.8941342889468693,22
SA,2022-12-06,Surface,21.72060968170988,10,6.54163299661108,10
SA,2022-12-06,Mid-Depth,21.672852444521887,10,6.353138514880082,10
SA,2022-12-06,Lower Photic,21.64657819269556,10,6.162844337694788,10
SA,2022-12-06,Deep,21.51537942984412,22,5.7240522542889165,22
SA,2023-01-17,Surface,20.938439566885123,10,6.907896067201811,10
SA,2023-01-17,Mid-Depth,20.85816685994233,10,6.583605761896966,10
SA,2023-01-17,Lower Photic,20.768130396513307,10,6.450935396649359,10
SA,2023-01-17,Deep,20.70566967242512,22,6.24688365037101,22
SA,2023-02-14,Surface,20.83061160114912,10,6.587865040944055,10
SA,2023-02-14,Mid-Depth,20.66615562444602,10,6.640716812312851,10
SA,2023-02-14,Lower Photic,20.54856773758646,10,6.584954458109034,10
SA,2023-02-14,Deep,20.49154892367017,22,6.313545611616655,22
SA,2023-03-14,Surface,21.40490334748377,10,7.7242253873154,10
SA,2023-03-14,Mid-Depth,21.112834548673952,10,7.04669398876103,10
SA,2023-03-14,Lower Photic,20.77647796465125,10,5.760694695987242,10
SA,2023-03-14,Deep,20.61518950744179,22,4.711602938533858,22
SA,2023-04-11,Surface,22.011858426280376,10,7.129059060071837,10
SA,2023-04-11,Mid-Depth,21.95857409551358,10,7.0028973388193005,10
SA,2023-04-11,Lower Photic,21.72534656143653,10,6.5520906892089625,10
SA,2023-04-11,Deep,20.723242603468865,22,2.735482420143129,22
SA,2023-05-09,Surface,23.48376528140427,10,7.769248012441736,10
SA,2023-05-09,Mid-Depth,23.12381909326664,10,7.500319832688578,10
SA,2023-05-09,Lower Photic,22.20310464491324,10,5.916004637863358,10
SA,2023-05-09,Deep,20.793855790424576,22,3.153840854757973,22
SA,2023-06-13,Surface,24.40102551373953,10,7.669910373224828,10
