location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Deep,2016-04-12,20.72515151515152,0.3359090909090909,8.24159090909091,4.406742424242424,,,,,,,,
SA,Surface,2016-05-17,23.731,0.7969999999999999,8.4,7.8809999999999985,7.5,1.453252834,,,,,,
SA,Mid-Depth,2016-05-17,23.499,1.243,8.364,7.712999999999999,,,,,,,,
SA,Lower Photic,2016-05-17,21.894,0.759,7.929,5.159,,,,,,,,
SA,Deep,2016-05-17,20.83318181818182,0.2252272727272727,7.803030303030303,3.300303030303031,,,,,,,,
SA,Surface,2016-06-14,23.969,0.479,8.747,7.832000000000001,7.2,1.474509811,,,,,,
SA,Mid-Depth,2016-06-14,23.884000000000004,1.038,8.624,7.786000000000001,,,,,,,,
SA,Lower Photic,2016-06-14,23.028,0.996,8.241,6.125,,,,,,,,
SA,Deep,2016-06-14,20.852954545454548,0.3159848484848485,7.858712121212122,2.6539393939393943,,,,,,,,
SA,Surface,2016-07-12,23.888,0.8859999999999999,8.743,7.536,5.3,1.85281018,,,,,,
SA,Mid-Depth,2016-07-12,23.694,1.249,8.716000000000001,7.499,,,,,,,,
SA,Lower Photic,2016-07-12,22.484,0.963,8.482000000000001,6.034000000000001,,,,,,,,
SA,Deep,2016-07-12,20.864469696969703,0.3241666666666666,8.04651515151515,2.79939393939394,,,,,,,,
SA,Surface,2016-08-09,23.555,0.792,8.651000000000002,7.849000000000001,6.3,1.890508787,,,,,,
SA,Mid-Depth,2016-08-09,23.322,1.28,8.604999999999999,7.824,,,,,,,,
SA,Lower Photic,2016-08-09,23.053000000000004,1.539,8.393,7.100999999999999,,,,,,,,
SA,Deep,2016-08-09,21.07159090909091,0.6162121212121213,7.919469696969698,3.031515151515152,,,,,,,,
SA,Surface,2016-09-06,23.697,0.497,9.91,7.577,7.5,2.400413157,,,,,,
SA,Mid-Depth,2016-09-06,23.622,0.8400000000000001,9.873,7.501,,,,,,,,
SA,Lower Photic,2016-09-06,23.374,0.844,9.693,6.906000000000001,,,,,,,,
SA,Deep,2016-09-06,21.13462121212121,0.3584848484848484,9.183939393939394,2.3403787878787883,,,,,,,,
SA,Surface,2016-10-11,23.465,0.639,8.922,7.354999999999999,6.25,2.400413356,,,,,,
SA,Mid-Depth,2016-10-11,23.409,1.5379999999999998,8.864999999999998,7.319,,,,,,,,
SA,Lower Photic,2016-10-11,23.364,1.835,8.818999999999999,7.117,,,,,,,,
SA,Deep,2016-10-11,21.35894400464632,0.5908143719339326,8.157704831629365,2.592860512202623,,,,,,,,
SA,Surface,2016-11-08,22.714,1.47,9.003,7.607000000000001,5.1,2.40041087,,,,,,
SA,Mid-Depth,2016-11-08,22.659,1.8040000000000005,8.992999999999999,7.51,,,,,,,,
SA,Lower Photic,2016-11-08,22.597,2.2,8.881,7.162000000000001,,,,,,,,
SA,Deep,2016-11-08,21.37280303030303,1.2381060606060603,8.39401515151515,3.709015151515152,,,,,,,,
