location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Surface,13/04/2021,21.49837767,3.146443226,8.617276118,7.409080996,4.525,1.7,247.8263017,0.52665371,6.150415584,19.566,25.001,15.10688406
SA,Mid-Depth,13/04/2021,21.12307116,3.168220303,8.490408154,6.649171833,,,248.0230362,0.528457578,14.19768831,11.957,20.33684211,13.95652174
SA,Lower Photic,13/04/2021,21.04343108,2.009615692,8.33926054,6.28248418,,,250.0618013,0.571118164,28.56781818,25.001,24.74315789,14.39130435
SA,Deep,13/04/2021,20.91615466,1.473640984,8.01813157,5.158419479,,,251.916233,1.217724004,92.16845946,39.132,22.70947368,20.125
SA,Surface,11/05/2021,22.71575841,1.430658736,9.196334671,7.417648661,6.025,2.1,246,0.610378262,4.537345912,10.25403333,72.87933333,24.68923077
SA,Mid-Depth,11/05/2021,22.17472234,2.838991368,8.686566865,6.898126039,,,246.5377459,0.715797563,78.19266667,19.6747,34.546,28.42307692
SA,Lower Photic,11/05/2021,21.22616414,1.242262779,8.227443168,5.242440239,,,249.7525551,0.422038193,164.6050476,29.4577,21.53655814,17.96
SA,Deep,11/05/2021,20.93310838,0.855373642,8.044658,4.516082255,,,251,0.586661473,199.7320317,52.2847,28.566,23.03846154
SA,Surface,08/06/2021,23.97214504,1.406487398,8.701769713,7.473341919,4.8125,2.5,245.2727273,0.585252387,23.85769298,79.03658817,7.493818182,14.61728395
SA,Mid-Depth,08/06/2021,23.21454281,1.646038254,8.164088296,6.643858661,,,246.8,0.562712004,74.55628169,42.5017,9.542909091,15.48148148
SA,Lower Photic,08/06/2021,21.63514685,1.044525302,7.508044725,4.871564203,,,251.3,0.413138883,151.8554366,50.1107,8.957454545,15.48148148
SA,Deep,08/06/2021,20.98233891,0.654241687,7.163887474,3.698841586,,,251.75,0.606240214,205.4661408,64.2417,8.957454545,18.44444444
SA,Surface,13/07/2021,23.63708883,1.979374414,8.790574089,7.36676985,5.8,2,243,0.527296655,9.968468468,9.295724138,9.83311828,19.9452496
SA,Mid-Depth,13/07/2021,23.58118671,2.151440232,8.139767191,7.267812896,,,243,0.642981716,8.373513514,1.799172414,12.88,29.13043478
SA,Lower Photic,13/07/2021,21.77977259,1.811226891,7.32835904,4.731810766,,,248.576494,0.510564255,176.2296056,32.1602069,10.80258065,33.04347826
SA,Deep,13/07/2021,20.98690196,0.817127902,6.821691548,3.224943007,,,251.6831006,0.678627667,237.9442535,53.52537931,5.401290323,29.56521739
SA,Surface,10/08/2021,23.47237432,1.137308623,8.818670057,7.397959564,6.4,3.4,240.7534033,0.418992777,10.86828889,17.9355,19.22092308,13.31884058
SA,Mid-Depth,10/08/2021,23.39441433,1.847718391,8.274745715,7.21926788,,,243.7802933,0.513192661,10.6224,12.5005,22.52348718,14.04347826
SA,Lower Photic,10/08/2021,22.63520187,1.536410213,7.834496883,5.776673471,,,246.8771982,0.502206242,180.3930303,48.3715,11.95528205,20.13043478
SA,Deep,10/08/2021,21.06558508,0.796092881,7.055353744,2.980481048,,,252.1753536,0.679393568,141.4978788,54.35,22.48818391,19.91032609
SA,Surface,07/09/2021,23.64865212,1.69370758,8.460061441,7.399537558,5.625,2.5,242.1195248,0.588862046,9.761788889,24.33477419,17.19858824,11.31818182
SA,Mid-Depth,07/09/2021,23.43973852,2.970651425,7.941553033,6.980711691,,,242.3045734,0.696033175,14.67956667,17.67251613,19.47152941,13.13636364
SA,Lower Photic,07/09/2021,22.79920547,1.964299961,7.57109843,5.491963717,,,244.4389306,0.753251456,53.32967213,18.72445161,13.41035294,9.954545455
SA,Deep,07/09/2021,21.09516175,0.80291049,6.818276756,2.554726284,,,252.6296102,0.580030684,189.737541,75.63416129,37.22101695,23.94782609
SA,Surface,12/10/2021,23.91843202,2.283187061,8.439161918,7.477838734,5.175,2.2,242,0.591444302,29.55584444,20.40754839,24.47316667,8.179487179
SA,Mid-Depth,12/10/2021,23.66838664,3.435739649,7.381892311,6.731880449,,,242.0270136,0.676453564,79.81553333,24.61529032,15.568,9.846153846
SA,Lower Photic,12/10/2021,22.88367299,3.033711634,6.846809062,5.086237005,,,246.4469193,0.543942436,246.5282,41.44625806,11.368,13.69230769
SA,Deep,12/10/2021,21.17157736,1.005565282,6.204642627,2.008643571,,,253.3973979,0.665103481,247.6347,65.64077419,14.448,22.69565217
SA,Surface,09/11/2021,23.21460975,6.724386149,8.523957968,6.992147713,5.2,2,242.0532132,0.619373365,23.98305025,25.61696667,28.93558621,11.51515152
SA,Mid-Depth,09/11/2021,23.14459474,6.922864118,7.895403876,6.819820425,,,242.506479,0.643591487,15.22844068,9.6743,19.04595745,11.36363636
SA,Lower Photic,09/11/2021,23.1127407,7.576431292,7.610040771,6.565639346,,,242.9932484,0.79184379,27.23115254,16.1963,22.88255319,12.72727273
