depth,2018-01-11,2018-02-07,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2018-11-14,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
80.0,22.01650306965344,46.406359067606125,25.17322149288153,68.80076538299284,61.80501108700035,36.15014491298947,52.97619047619048,22.153950220153764,64.48028120119972,64.269931079567,44.61,32.30434782608695,34.56521739130435,31.125000000000004,35.09090909090909,34.40909090909091,35.90909090909091,34.913043478260875,22.68181818181818,24.703703703703702,17.047619047619047,19.958333333333336,17.77272727272727,19.178571428571427,26.03703703703703,11.659574468085106,10.704545454545451,23.625000000000004,14.363636363636362,12.325581395348838,5.021739130434782,9.9375,22.208333333333336,24.192307692307693,29.65217391304348,30.8695652173913,17.08695652173913,16.772727272727273,18.692307692307693,20.130434782608692,19.727272727272727,70.91999999999999,12.666666666666666,14.73913043478261,13.917857142857144,14.357142857142858,22.39130434782609,18.72,15.346153846153848,11.821428571428571,23.875000000000004,18.23809523809524,14.272727272727272,17.916666666666668,23.72,18.633333333333336,19.956521739130437,23.227272727272727,18.956521739130437
100.0,51.47574914862779,37.314761219284286,51.7843005721382,71.81408425239559,52.3188075842197,42.42343450058342,64.88095238095238,41.54573266716858,140.38406645599648,60.77409374786972,30.4,45.78260869565217,48.47826086956522,40.29166666666667,47.36363636363636,43.5,51.36363636363636,37.95652173913044,45.4090909090909,31.13636363636364,73.27272727272727,35.42307692307693,37.85,30.20689655172414,28.81481481481481,15.914893617021278,21.693877551020407,34.458333333333336,18.68181818181818,14.418604651162791,22.511111111111116,18.270833333333336,38.04166666666667,54.57692307692308,28.78260869565218,30.0,28.458333333333336,30.034782608695654,34.21739130434783,26.65217391304348,39.00000000000001,78.52,36.375,,33.90909090909091,34.958333333333336,28.043478260869566,44.00000000000001,29.32,30.04,31.375,31.913043478260867,37.5,27.260869565217394,25.72,26.47826086956521,19.956521739130437,29.13636363636363,23.954545454545453
150.0,30.265091971766257,45.901270298254914,34.59797866678494,66.99277406135117,61.80501108700035,16.075618232688857,55.95238095238095,36.41261378413524,62.805932997049794,,57.63,18.39130434782609,50.65217391304348,40.70833333333334,50.54545454545455,46.22727272727273,52.72727272727273,46.21739130434783,59.95454545454546,46.13636363636364,106.0,52.73076923076923,54.85,39.17241379310345,29.370370370370367,25.93617021276596,30.6734693877551,49.87500000000001,25.48936170212766,25.6734693877551,28.28888888888889,32.148936170212764,54.708333333333336,74.96153846153847,40.52173913043479,41.73913043478261,50.12500000000001,53.51304347826087,53.34782608695652,53.173913043478265,52.333333333333336,99.32,65.54166666666667,,60.72727272727272,43.29166666666667,63.69565217391304,55.66666666666668,58.11999999999999,59.64,59.29166666666666,59.739130434782616,46.590909090909086,62.04347826086956,58.52,60.82608695652174,43.869565217391305,60.954545454545446,53.04545454545454
200.0,81.52418014918162,38.32493875798672,63.98104515013084,76.63539444343999,68.91966371408583,40.54144762430524,63.09523809523809,40.40503958205006,59.45723658874994,66.01784974541565,58.22,40.56521739130434,51.086956521739125,44.458333333333336,52.81818181818182,56.22727272727273,60.45454545454545,50.130434782608695,62.68181818181817,53.40909090909091,111.45454545454544,52.73076923076923,70.35,48.137931034482754,66.22222222222221,29.5531914893617,31.081632653061224,53.62500000000001,31.23404255319149,30.97959183673469,34.95555555555556,33.21276595744681,58.45833333333333,83.42307692307692,75.73913043478261,76.95652173913044,66.79166666666667,59.16521739130435,75.95652173913044,66.21739130434783,74.0,146.12,75.95833333333334,,72.99999999999999,59.54166666666667,78.04347826086956,67.33333333333334,61.72,61.24,75.54166666666667,89.73913043478261,74.77272727272727,82.04347826086956,73.72,83.8695652173913,55.60869565217391,84.13636363636364,83.5
250.0,64.4378174233765,55.49795691592798,42.91394087905264,60.96613632254565,72.47699002762857,58.73398742832767,60.11904761904761,40.40503958205006,172.1966823348451,77.67064085107326,57.04,44.91304347826087,53.26086956521739,47.37500000000001,57.36363636363636,55.31818181818181,66.81818181818181,49.2608695652174,64.5,56.59090909090909,131.45454545454544,55.8076923076923,62.85,54.3448275862069,40.481481481481474,39.12765957446808,34.95918367346939,67.79166666666667,38.25531914893617,34.857142857142854,42.51111111111111,42.14893617021277,73.45833333333333,90.73076923076924,70.5217391304348,70.0,73.04166666666667,73.94782608695652,78.1304347826087,72.73913043478261,79.83333333333334,161.32000000000002,86.375,,80.72727272727272,74.54166666666667,84.56521739130436,66.08333333333334,70.92,76.83999999999999,85.125,85.3913043478261,82.95454545454545,75.95652173913044,77.32,80.82608695652175,76.47826086956522,90.95454545454544,87.13636363636364
255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,,,71.18821240076285,75.43006689567889,99.74982509812293,41.16877658306463,64.28571428571428,49.5305842629982,257.5884407464914,72.42688485352733,80.72,61.434782608695656,63.69565217391304,81.54166666666669,65.54545454545453,61.22727272727273,79.54545454545453,57.08695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.0,113.34016591447391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0,,41.86056014344521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
