location,date,depth_group,depth,temp,chlorophyll_a,ph,turbidity,dissolved_oxygen,total_dissolved_solids,biochemical_oxygen_demand,secchi,nitrate,phosphate,ammonium,phosphorus,nitrogen
SA,2014-11-11,10-30m,20.5,22.2195,2.83,9.578888888888889,1.0,7.358499999999999,300.0,,,,105.6,,,
SA,2014-11-11,30m+,43.0,21.3168,1.0016666666666667,8.42,1.0,3.9352,300.0,,,,121.15,,,
WP,2014-11-11,0-10m,5.009090909090909,22.9,1.299090909090909,10.884545454545457,1.0,7.659090909090909,300.0,2.0,5.5,,34.650000000000006,,,
WP,2014-11-11,10-30m,20.5,22.2415,1.7775,11.2705,1.0,6.8535,300.0,,,,41.33,,,
WP,2014-11-11,30m+,69.0,20.79298701298701,0.4214285714285715,10.127662337662338,1.0,2.6366233766233766,300.0,,,,56.95,,,
WG,2014-11-12,0-10m,5.009090909090909,22.40818181818182,1.8172727272727272,9.795,1.0,7.821818181818181,300.0,3.1,6.2,,116.8,,,
WG,2014-11-12,10-30m,20.5,22.3495,2.6723529411764706,11.089444444444446,1.0,7.673,300.0,,,,119.6,,,
WG,2014-11-12,30m+,114.5,20.529642857142857,0.2272455089820359,9.767261904761906,,1.8464285714285715,300.0,,,,138.95,,,
SA,2014-12-08,0-10m,5.009090909090909,21.13818181818182,2.859,8.499090909090908,,6.931818181818182,300.0,,4.0,,,,,
SA,2014-12-08,10-30m,20.5,21.132,3.4735,8.4925,,6.946,300.0,,,,,,,
SA,2014-12-08,30m+,44.0,21.118148148148148,3.978148148148148,8.43,,6.956296296296296,300.0,,,,,,,
WP,2014-12-08,0-10m,5.009090909090909,21.14454545454545,1.944,8.500909090909092,1.0,6.394545454545455,300.0,1.1,6.1,,87.5,,,
WP,2014-12-08,10-30m,20.5,21.089,3.378,8.5045,1.0,6.297,300.0,,,,119.0,,,
WP,2014-12-08,30m+,68.5,20.541184210526318,0.7833783783783783,7.956052631578947,0.5,2.321184210526316,300.0,,,,13.5,,,
WG,2014-12-09,0-10m,5.009090909090909,21.078181818181815,2.558,8.646363636363636,1.0,6.502727272727273,300.0,1.6,6.5,,41.650000000000006,,,
WG,2014-12-09,10-30m,20.5,21.081,3.250526315789473,8.66,1.0,6.4995,300.0,,,,33.0,,,
WG,2014-12-09,30m+,92.0,20.556910569105693,0.8591056910569106,8.072439024390244,1.0,2.718617886178861,300.0,,,,27.0,,,
SA,2015-01-13,0-10m,5.009090909090909,20.434545454545454,3.207777777777778,8.511818181818182,,0.0,300.0,,5.5,,,,,
SA,2015-01-13,10-30m,20.5,20.2865,4.3515,8.486,,0.0,300.0,,,,,,,
SA,2015-01-13,30m+,44.5,20.19214285714286,4.4575000000000005,8.421071428571429,,0.0,300.0,,,,,,,
WG,2015-01-14,0-10m,5.009090909090909,20.41818181818182,1.9881818181818185,8.413636363636364,,0.0,300.0,1.5,8.0,,100.0,,73.5,
WG,2015-01-14,10-30m,20.5,20.42,2.4305,8.368500000000001,,0.0,300.0,,,,97.0,,92.0,
WG,2015-01-14,30m+,112.0,20.409263803680982,1.4059509202453988,8.161840490797546,,0.0,300.0,,,,121.0,,94.0,
WP,2015-01-14,0-10m,5.009090909090909,20.46090909090909,0.7681818181818181,8.433636363636364,,0.0,,1.6,8.0,,106.5,,110.5,
WP,2015-01-14,10-30m,20.5,20.39,0.01,8.403,,0.0,,,,,137.0,,134.0,
WP,2015-01-14,30m+,70.0,20.39012658227848,0.01,8.395949367088608,,0.0,,,,,139.0,,108.0,
SA,2015-02-10,0-10m,5.009090909090909,20.52636363636364,3.157272727272728,8.26909090909091,,6.298181818181818,300.0,,5.29,,,,,
SA,2015-02-10,10-30m,20.5,20.2665,1.7221052631578946,8.1395,,4.715999999999999,300.0,,,,,,,
SA,2015-02-10,30m+,44.5,20.171785714285715,1.8496428571428567,8.113928571428572,,5.885,300.0,,,,,,,
WP,2015-02-10,0-10m,5.009090909090909,20.579090909090908,5.029,8.422727272727274,,6.687272727272728,300.0,2.2,,,84.3,,469.0,
WP,2015-02-10,10-30m,20.5,20.4405,3.981578947368421,8.2185,,6.758,300.0,,,,105.0,,617.0,
WP,2015-02-10,30m+,69.0,20.32792207792208,1.092987012987013,8.100259740259741,,6.779740259740259,300.0,,,,111.0,,10.0,
WG,2015-02-11,0-10m,5.009090909090909,20.708181818181817,5.983636363636364,8.44090909090909,,5.8118181818181816,300.0,1.7,4.0,,121.0,,14.15,
WG,2015-02-11,10-30m,20.5,20.548,5.2355,8.2935,,5.832,300.0,,,,122.0,,21.0,
WG,2015-02-11,30m+,114.5,20.323988095238093,0.8282035928143713,7.98672619047619,,5.879285714285714,300.0,,,,137.0,,93.3,
SA,2015-03-10,0-10m,5.009090909090909,20.564545454545456,3.1100000000000003,8.597272727272726,,7.132727272727274,300.0,,5.2,,,,,
SA,2015-03-10,10-30m,20.5,20.4005,4.7780000000000005,8.4775,,6.537999999999999,300.0,,,,,,,
SA,2015-03-10,30m+,44.5,20.301071428571426,5.029642857142858,8.355357142857143,,6.690714285714286,300.0,,,,,,,
WP,2015-03-10,0-10m,5.009090909090909,21.06090909090909,1.8163636363636364,8.643636363636363,,6.6,300.0,1.9,7.0,,137.3,,56.85,
WP,2015-03-10,10-30m,20.5,20.434,6.3555,8.5235,,5.8705,300.0,,,,160.0,,60.0,
WP,2015-03-10,30m+,68.5,20.32631578947368,3.8701428571428576,8.404868421052631,,4.7275,300.0,,,,170.5,,70.0,
WG,2015-03-11,0-10m,5.009090909090909,20.86909090909091,2.010909090909091,8.746363636363636,,7.056363636363637,300.0,1.8,6.5,,184.0,,119.5,
WG,2015-03-11,10-30m,20.5,20.6675,4.862631578947369,8.6545,,6.847,300.0,,,,199.0,,175.0,
WG,2015-03-11,30m+,114.5,20.313511904761903,1.6316265060240964,8.314464285714285,,4.065476190476191,300.0,,,,212.5,,153.0,
SA,2015-04-14,0-10m,5.009090909090909,22.005454545454544,0.8081818181818182,8.677272727272728,,7.633636363636364,300.0,,7.1,,,,,
SA,2015-04-14,10-30m,20.5,21.317,1.112,8.6085,,6.8265,300.0,,,,,,,
SA,2015-04-14,30m+,44.5,20.479642857142856,0.4910714285714285,8.073571428571428,,3.7432142857142856,300.0,,,,,,,
WG,2015-04-14,0-10m,5.009090909090909,22.19454545454545,0.3027272727272727,8.742727272727272,,7.194545454545454,300.0,4.2,12.0,,7.65,,20.65,
WG,2015-04-14,10-30m,20.5,21.494,0.743,8.643,,6.9395,300.0,,,,100.2,,37.3,
WG,2015-04-14,30m+,114.5,20.33511904761905,0.2636904761904762,8.191666666666666,,3.339761904761905,300.0,,,,63.0,,70.3,
WP,2015-04-14,0-10m,5.009090909090909,22.753636363636364,0.3509090909090909,8.776363636363635,,7.180909090909091,300.0,3.9,8.0,,8.5,,139.65,
WP,2015-04-14,10-30m,20.5,21.6895,0.776,8.721,,7.1255,300.0,,,,16.0,,135.0,
WP,2015-04-14,30m+,68.5,20.449605263157896,0.3453947368421052,8.342105263157896,,4.098026315789474,300.0,,,,29.5,,191.0,
WG,2015-05-05,0-10m,5.009090909090909,23.315454545454543,0.5499999999999999,8.748181818181818,,7.249090909090909,300.0,,,,,,,
WG,2015-05-05,10-30m,20.5,22.359,0.8619999999999999,8.593,,7.1155,300.0,,,,,,,
WG,2015-05-05,30m+,111.0,20.33329192546584,0.2632298136645963,8.12049689440994,,3.4038509316770185,300.0,,,,,,,
WP,2015-05-05,0-10m,4.6000000000000005,23.736666666666665,0.4090909090909091,8.775,,6.34,300.0,,,,,,,
WP,2015-05-05,10-30m,20.5,22.05,0.845,8.5815,,7.158,300.0,,,,,,,
WP,2015-05-05,30m+,46.5,20.526875,0.5246875,8.25125,,4.6515625,300.0,,,,,,,
SA,2015-06-09,0-10m,5.009090909090909,23.84,0.7336363636363636,8.735454545454546,,7.374545454545455,300.0,,5.1,,,,,
SA,2015-06-09,10-30m,20.5,22.864,0.9265,8.486500000000001,,6.6285,300.0,,,,,,,
SA,2015-06-09,30m+,44.5,20.62357142857143,0.5210714285714285,7.942142857142857,,3.455357142857143,300.0,,,,,,,
WG,2015-06-09,0-10m,5.009090909090909,24.022727272727277,0.3063636363636364,8.968181818181819,,7.430000000000001,300.0,0.6,6.8,,44.5,,38.650000000000006,
WG,2015-06-09,10-30m,20.5,22.9615,0.6094999999999999,8.822,,7.176,300.0,,,,47.6,,36.3,
WG,2015-06-09,30m+,114.5,20.354940476190475,0.2132142857142857,8.22172619047619,,3.1691666666666665,300.0,,,,60.8,,76.8,
WP,2015-06-09,0-10m,5.009090909090909,24.01,0.5954545454545455,8.984545454545454,,7.416363636363636,300.0,0.6,3.9,,41.150000000000006,,31.15,
WP,2015-06-09,10-30m,20.5,22.6555,0.6585,8.7625,,6.7985,300.0,,,,60.6,,41.3,
WP,2015-06-09,30m+,75.0,20.399213483146067,0.2353932584269663,8.266966292134832,,3.458539325842697,300.0,,,,83.15,,46.45,
SA,2015-07-14,0-10m,5.009090909090909,22.83818181818182,1.2972727272727271,8.617272727272727,,7.170000000000001,300.0,,5.4,,,,,
SA,2015-07-14,10-30m,20.5,22.7065,1.6939999999999995,8.639500000000002,,7.132,300.0,,,,,,,
SA,2015-07-14,30m+,44.5,20.740357142857142,0.6267857142857143,8.007142857142856,,3.080357142857143,300.0,,,,,,,
WP,2015-07-14,0-10m,5.009090909090909,23.24909090909091,0.6790909090909091,8.69090909090909,,7.308181818181819,300.0,,7.5,,,,48.650000000000006,
WP,2015-07-14,10-30m,20.5,22.570500000000003,1.3985,8.5845,,6.8965000000000005,300.0,,,,,,60.0,
WP,2015-07-14,30m+,69.0,20.465714285714284,0.441948051948052,7.98051948051948,,3.301168831168831,300.0,,,,,,56.3,
WG,2015-07-15,0-10m,5.009090909090909,23.027272727272727,0.4554545454545454,8.759090909090908,,7.237272727272727,300.0,,10.375,,100.85,,54.5,
WG,2015-07-15,10-30m,20.5,22.832,0.7875,8.684000000000001,,7.294499999999999,300.0,,,,138.7,,70.0,
WG,2015-07-15,30m+,114.5,20.382261904761904,0.3225595238095238,7.902440476190476,,3.0752380952380958,300.0,,,,138.65,,76.0,
SA,2015-08-10,0-10m,5.009090909090909,23.59090909090909,1.3963636363636365,8.816363636363636,,7.474545454545455,300.0,,6.3,,,,,
SA,2015-08-10,10-30m,20.5,23.039,1.3815,8.7375,,6.9965,300.0,,,,,,,
SA,2015-08-10,30m+,44.5,20.89035714285714,0.6421428571428571,8.145,,3.115357142857143,300.0,,,,,,,
WP,2015-08-10,0-10m,5.009090909090909,24.37818181818181,0.9718181818181818,8.868181818181817,,7.809090909090909,300.0,2.0,8.0,,11.35,,248.5,
WP,2015-08-10,10-30m,20.5,23.08,1.3685,8.7605,,7.157500000000001,300.0,,,,27.0,,222.3,
WP,2015-08-10,30m+,70.0,20.519240506329115,0.4996202531645569,8.169746835443037,,3.000379746835443,300.0,,,,17.0,,29.5,
