month_year,Year,Month (num),Month,Day,date,Location,Municipality,X,Y,Altitude,Time,Temperature,Ambient T,Temp change,pH,depth,Total_Dissolved_Solids,Sediments,O2,O2,Salinity,Conductivity,Flow,flow,phosphate,Nitrates,Turbidity,Fecal_Coliforms,BOD,Total_Nitrogen,Total_Phosphorus,ICA,Quality,Colour
1,2015,1,Ene,0,,Río Quiscab,Sololá,426160,1630385,0,,19.1,,,,31,72.9,-0.1,7.76,102.5,0.07,134.2,1066.98,1.066,,,,,,,,,,
1,2015,1,Ene,0,,Rio San Buenaventura,Panajachel,428435,1631162,1596,,16.9,,,8.39,65,101,-0.01,8.15,101.2,0.1,172.9,15.95,0.015,,,,,,,,,,
1,2015,1,Ene,0,,Río San Francisco,Panajachel,430805,1631438,1637,,16.9,,,7.98,14,84,0.02,7.94,99,0.08,148.6,426.96,0.426,,,,,,,,,,
1,2015,1,Ene,0,,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18.9,,,,17,55.7,0.02,7.49,97.8,0.05,117.9,44.26,0.044,,,,,,,,,,
13,2016,1,Ene,21,21/01/2016,Río San Francisco,Panajachel,430805,1631438,1637,,,,,,,,,,,,,108.86,0.108,,,,,,,,,,
14,2016,2,Feb,1,01/02/2016,Río La Catarata,Panajachel,428286,1631202,0,,17.9,,,8.31,120,120.3,0,8.06,102.3,0.12,256,8.79,0.008,,,,,,,,,,
14,2016,2,Feb,1,01/02/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,19.5,,,8.67,120,110.5,0,8.92,117.1,0.11,232,2.17,0.002,,,,,,,,,,
14,2016,2,Feb,1,01/02/2016,Río San Francisco,Panajachel,430805,1631438,1637,,19.6,,,8.22,17,93.9,0.1,7.78,102.8,0.1,197.4,95.7,0.095,,,,,,,,,,
14,2016,2,Feb,17,17/02/2016,Río Quiscab,Sololá,426160,1630385,0,,20.1,,,8.24,20,75.8,0.1,7.76,102.9,0.07,159.9,956.04,0.956,,,,,,,,,,
14,2016,2,Feb,17,17/02/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,20.4,,,8.19,7.5,56.1,0.1,7.62,102.3,0.06,118.8,167.42,0.164,,,,,,,,,,
15,2016,3,Mar,1,01/03/2016,Río La Catarata,Panajachel,428286,1631202,0,,20,,,8.25,120,137.9,0,7.42,98.4,0.14,288,1.05,0.001,,,,,,,,,,
15,2016,3,Mar,1,01/03/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
15,2016,3,Mar,1,01/03/2016,Río San Francisco,Panajachel,430805,1631438,1637,,20.5,,,8.34,27,99.3,0.1,7.89,105.9,0.1,208.8,117.78,0.117,,,,,,,,,,
15,2016,3,Mar,9,09/03/2016,Río Quiscab,Sololá,426160,1630385,0,,17.1,,,8.27,27,75.7,0.1,8.15,101.4,0.07,159.7,1568.12,1.568,,,,,,,,,,
15,2016,3,Mar,9,09/03/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.1,,,8.25,10,57.6,0.5,7.81,101.2,0.06,121.8,843.3,0.843,,,,,,,,,,
16,2016,4,Abr,5,05/04/2016,Río La Catarata,Panajachel,428286,1631202,0,,21.1,,,8.28,120,136.5,0.5,8.29,112.5,0.13,272,0.47,0,,,,,,,,,,
16,2016,4,Abr,5,05/04/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
16,2016,4,Abr,5,05/04/2016,Río San Francisco,Panajachel,430805,1631438,1637,,23.7,,,8.08,26,97.4,0.1,7.42,106,0.1,205,56.97,0.056,,,,,,,,,,
16,2016,4,Abr,13,13/04/2016,Río Quiscab,Sololá,426160,1630385,0,,21.5,,,8.49,16.6,83.8,0.5,7.7,106.5,0.08,176.4,1858.65,1.858,,,,,,,,,,
16,2016,4,Abr,13,13/04/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,22.7,,,8.34,33.8,56.2,0.5,7.17,102.1,0.06,118.9,325.47,0.325,,,,,,,,,,
17,2016,5,May,3,03/05/2016,Río La Catarata,Panajachel,428286,1631202,0,,18.8,,,8.44,27,114.2,0,7.63,99.9,0.11,239,16.42,0.016,,,,,,,,,,
